date,luxury_hotel,four_seasons,intercontinental,jw_marriott,kimpton,hyatt_regency,five_star_hotel
2023-04-09,32,17,14,69,23,117.0,14.8
2023-04-16,33,18,14,69,23,121.5,14.8
2023-04-23,35,19,13,63,23,112.6,13.3
2023-04-30,33,16,14,67,23,109.6,13.3
2023-05-07,34,18,14,66,23,109.6,16.3
2023-05-14,33,20,15,70,23,112.6,16.3
2023-05-21,35,20,14,67,26,121.5,16.3
2023-05-28,36,20,14,65,24,106.7,14.8
2023-06-04,37,20,15,68,25,130.4,16.3
2023-06-11,39,19,16,75,27,124.4,16.3
2023-06-18,36,20,14,72,24,140.7,16.3
2023-06-25,40,20,15,79,26,127.4,16.3
2023-07-02,41,20,15,76,26,130.4,17.8
2023-07-09,41,20,16,76,28,136.3,17.8
2023-07-16,42,19,16,77,25,134.8,17.8
2023-07-23,41,21,16,74,25,127.4,17.8
2023-07-30,42,18,15,75,23,117.0,16.3
2023-08-06,35,20,15,68,23,140.7,16.3
2023-08-13,36,18,14,67,24,115.5,16.3
2023-08-20,35,17,14,64,23,97.8,16.3
2023-08-27,33,17,15,65,21,108.1,14.8
2023-09-03,35,17,14,64,21,94.8,16.3
2023-09-10,31,16,14,58,22,105.2,14.8
2023-09-17,34,16,13,60,23,99.2,13.3
2023-09-24,31,16,14,63,23,105.2,14.8
2023-10-01,37,16,14,61,22,103.7,13.3
2023-10-08,31,15,13,59,19,96.3,13.3
2023-10-15,31,15,14,65,21,91.8,13.3
2023-10-22,29,15,14,64,22,90.4,13.3
2023-10-29,29,15,12,57,20,85.9,13.3
2023-11-05,34,17,13,63,24,94.8,13.3
2023-11-12,31,17,13,63,21,91.8,13.3
2023-11-19,27,14,12,56,16,74.1,13.3
2023-11-26,30,17,12,59,20,87.4,13.3
2023-12-03,35,17,14,61,21,87.4,13.3
2023-12-10,30,17,13,57,19,77.0,14.8
2023-12-17,32,17,12,57,18,71.1,13.3
2023-12-24,37,19,13,66,20,97.8,16.3
2023-12-31,41,19,13,65,24,93.3,16.3
2024-01-07,41,18,14,68,23,93.3,17.8
2024-01-14,41,17,15,69,22,93.3,16.3
2024-01-21,41,18,13,65,22,93.3,16.3
2024-01-28,37,18,12,69,23,94.8,14.8
2024-02-04,41,19,14,68,24,97.8,14.8
2024-02-11,36,18,14,67,23,88.9,14.8
2024-02-18,38,21,16,71,26,105.2,17.8
2024-02-25,38,20,14,66,24,105.2,14.8
2024-03-03,37,18,14,73,26,118.5,16.3
2024-03-10,39,18,14,72,25,117.0,17.8
2024-03-17,36,19,15,73,25,109.6,14.8
2024-03-24,37,18,15,73,24,106.7,16.3
2024-03-31,38,18,15,80,24,111.1,14.8
2024-04-07,35,18,14,69,25,108.1,14.8
2024-04-14,37,17,14,72,23,109.6,16.3
2024-04-21,39,17,15,71,25,105.2,17.8
2024-04-28,37,17,14,71,24,103.7,16.3
2024-05-05,37,18,14,79,24,106.7,16.3
2024-05-12,38,17,18,73,24,112.6,16.3
2024-05-19,43,22,18,73,24,117.0,17.8
2024-05-26,39,20,15,75,23,114.1,17.8
2024-06-02,43,20,15,75,25,120.0,16.3
2024-06-09,42,20,15,95,26,125.9,16.3
2024-06-16,40,18,15,78,24,123.0,17.8
2024-06-23,43,18,16,79,26,136.3,17.8
2024-06-30,47,18,16,92,24,123.0,19.3
2024-07-07,44,19,16,83,26,130.4,17.8
2024-07-14,45,19,15,79,26,128.9,16.3
2024-07-21,42,19,16,80,27,125.9,16.3
2024-07-28,40,19,16,74,26,120.0,17.8
2024-08-04,45,20,15,72,24,114.1,20.7
2024-08-11,41,19,15,67,26,117.0,22.2
2024-08-18,42,18,16,76,27,125.9,17.8
2024-08-25,42,18,15,66,24,102.2,16.3
2024-09-01,43,18,14,63,22,96.3,17.8
2024-09-08,38,17,14,66,22,102.2,16.3
2024-09-15,41,18,15,61,25,99.2,17.8
2024-09-22,38,17,15,64,22,99.2,16.3
2024-09-29,41,17,14,65,22,94.8,16.3
2024-10-06,42,17,14,68,25,102.2,17.8
2024-10-13,38,18,14,66,21,94.8,16.3
2024-10-20,40,16,14,66,22,99.2,17.8
2024-10-27,41,22,13,62,19,94.8,17.8
2024-11-03,36,17,12,60,18,80.0,14.8
2024-11-10,39,19,14,61,21,90.4,17.8
2024-11-17,41,18,13,72,17,91.8,17.8
2024-11-24,40,17,12,64,16,78.5,17.8
2024-12-01,47,19,14,69,21,90.4,17.8
2024-12-08,41,19,13,69,19,88.9,17.8
2024-12-15,38,18,14,68,18,77.0,17.8
2024-12-22,42,20,13,72,19,81.5,19.3
2024-12-29,49,24,15,75,23,103.7,20.7
2025-01-05,47,24,15,69,24,105.2,19.3
2025-01-12,48,22,15,72,25,121.5,20.7
2025-01-19,44,21,15,66,23,91.8,16.3
2025-01-26,42,19,14,67,22,87.4,16.3
2025-02-02,43,21,14,65,22,91.8,17.8
2025-02-09,44,21,14,71,23,96.3,17.8
2025-02-16,47,25,14,77,24,100.7,16.3
2025-02-23,44,25,13,71,24,97.8,17.8
2025-03-02,45,23,14,72,24,105.2,17.8
2025-03-09,45,25,14,73,23,108.1,17.8
2025-03-16,45,23,15,77,24,114.1,17.8
2025-03-23,45,23,15,68,22,103.7,16.3
2025-03-30,42,22,13,70,21,100.7,16.3
2025-04-06,43,25,14,67,22,102.2,17.8
2025-04-13,42,22,13,71,22,100.7,17.8
2025-04-20,40,21,13,69,21,106.7,16.3
2025-04-27,43,24,14,63,22,103.7,16.3
2025-05-04,54,27,15,66,24,103.7,22.2
2025-05-11,50,24,17,64,23,111.1,19.3
2025-05-18,43,22,14,75,24,111.1,17.8
2025-05-25,47,24,15,77,24,105.2,17.8
2025-06-01,52,25,16,71,26,105.2,20.7
2025-06-08,57,24,15,78,28,118.5,22.2
2025-06-15,59,26,16,79,25,114.1,22.2
2025-06-22,58,24,15,72,26,121.5,20.7
2025-06-29,57,22,16,74,25,124.4,19.3
2025-07-06,62,24,16,85,29,127.4,23.7
2025-07-13,61,27,16,74,26,148.1,23.7
2025-07-20,74,29,17,81,25,142.2,26.7
2025-07-27,84,32,17,79,28,145.2,26.7
2025-08-03,73,27,17,81,30,128.9,25.2
2025-08-10,65,27,14,70,28,118.5,20.7
2025-08-17,58,24,14,66,25,100.7,14.8
2025-08-24,54,22,14,65,24,106.7,14.8
2025-08-31,58,23,15,63,25,109.6,16.3
2025-09-07,45,21,13,57,22,96.3,14.8
2025-09-14,62,22,13,62,26,100.7,14.8
2025-09-21,67,22,13,68,26,94.8,13.3
2025-09-28,56,21,13,65,24,103.7,14.8
2025-10-05,61,22,14,68,26,100.7,14.8
2025-10-12,54,22,14,63,25,103.7,14.8
2025-10-19,47,22,13,66,22,99.2,13.3
2025-10-26,64,24,14,62,25,97.8,16.3
2025-11-02,75,27,15,69,26,108.1,20.7
2025-11-09,76,26,15,67,23,106.7,23.7
2025-11-16,72,25,15,72,23,106.7,23.7
2025-11-23,78,22,14,66,19,85.9,20.7
2025-11-30,78,27,15,69,24,91.8,23.7
2025-12-07,68,28,17,71,23,99.2,22.2
2025-12-14,72,27,16,76,22,83.0,22.2
2025-12-21,80,30,16,83,22,91.8,23.7
2025-12-28,85,35,18,80,28,109.6,23.7
2026-01-04,78,29,15,75,25,94.8,22.2
2026-01-11,81,32,16,70,26,102.2,23.7
2026-01-18,88,32,16,78,26,105.2,25.2
2026-01-25,100,33,18,81,25,106.7,26.7
2026-02-01,92,30,17,66,23,105.2,23.7
2026-02-08,75,25,16,70,23,112.6,19.3
2026-02-15,61,24,16,74,24,121.5,17.8
2026-02-22,59,25,16,76,26,133.3,17.8
