user_id,signup_date,device,country,plan,age_group
128,2024-06-03,tablet,AU,free,45-54
129,2024-05-08,mobile,UK,free,45-54
130,2024-06-08,mobile,US,free,45-54
131,2024-05-17,mobile,US,free,35-44
132,2024-04-29,desktop,UK,free,45-54
133,2024-06-09,desktop,US,starter,18-24
134,2024-02-24,desktop,US,free,55+
135,2024-05-09,mobile,US,starter,25-34
136,2024-04-04,mobile,AU,free,55+
137,2024-05-16,desktop,UK,free,25-34
138,2024-01-17,mobile,US,free,25-34
139,2024-05-14,mobile,CA,free,18-24
140,2024-01-19,mobile,US,free,55+
141,2024-03-12,mobile,UK,free,55+
142,2024-03-05,mobile,UK,free,25-34
143,2024-01-24,desktop,US,starter,25-34
144,2024-02-07,mobile,UK,starter,55+
145,2024-04-25,mobile,US,free,25-34
146,2024-03-11,mobile,US,free,35-44
147,2024-01-09,tablet,UK,starter,25-34
148,2024-05-03,desktop,UK,starter,55+
149,2024-02-25,mobile,US,free,18-24
150,2024-02-19,tablet,UK,starter,45-54
151,2024-04-05,mobile,CA,free,25-34
152,2024-06-06,desktop,US,pro,18-24
153,2024-04-18,desktop,CA,starter,25-34
154,2024-05-30,mobile,UK,free,55+
155,2024-03-24,mobile,CA,starter,18-24
156,2024-05-28,mobile,US,starter,25-34
157,2024-02-16,mobile,US,free,45-54
158,2024-05-13,desktop,US,free,35-44
159,2024-05-16,desktop,US,free,35-44
160,2024-06-01,desktop,UK,starter,25-34
161,2024-03-23,mobile,US,free,35-44
162,2024-06-09,mobile,US,starter,55+
163,2024-05-25,desktop,FR,free,45-54
164,2024-05-13,mobile,US,free,55+
165,2024-04-05,mobile,UK,pro,35-44
166,2024-04-27,mobile,US,pro,55+
167,2024-04-24,tablet,,starter,35-44
168,2024-04-21,mobile,AU,free,45-54
169,2024-06-26,mobile,,free,45-54
170,2024-01-18,mobile,US,free,18-24
171,2024-06-15,mobile,US,free,45-54
172,2024-06-06,desktop,US,free,35-44
173,2024-03-03,mobile,AU,starter,18-24
174,2024-05-07,desktop,UK,free,55+
175,2024-03-11,desktop,UK,free,18-24
176,2024-02-09,mobile,US,free,45-54
177,2024-01-24,mobile,CA,starter,25-34
178,2024-03-01,desktop,UK,free,18-24
179,2024-03-30,tablet,CA,free,35-44
180,2024-04-08,desktop,US,free,45-54
181,2024-02-17,mobile,US,free,55+
182,2024-04-08,desktop,US,free,45-54
183,2024-03-06,tablet,UK,starter,35-44
184,2024-05-20,mobile,UK,pro,45-54
185,2024-06-17,mobile,UK,free,55+
186,2024-05-28,mobile,UK,free,25-34
187,2024-05-15,mobile,US,starter,45-54
188,2024-01-09,mobile,UK,pro,45-54
189,2024-03-15,tablet,AU,starter,25-34
190,2024-04-06,tablet,US,pro,35-44
191,2024-06-17,mobile,DE,free,45-54
192,2024-01-03,desktop,US,starter,25-34
193,2024-01-15,mobile,,free,45-54
194,2024-05-06,mobile,US,starter,55+
195,2024-03-14,tablet,CA,pro,45-54
196,2024-06-18,mobile,CA,free,35-44
197,2024-02-14,desktop,US,free,18-24
198,2024-03-27,mobile,US,free,35-44
199,2024-06-03,mobile,US,free,25-34
200,2024-04-13,mobile,CA,free,25-34
201,2024-01-16,desktop,US,starter,45-54
202,2024-06-26,desktop,US,starter,45-54
203,2024-02-19,desktop,FR,free,35-44
204,2024-05-11,mobile,US,pro,55+
205,2024-02-28,desktop,US,free,35-44
206,2024-02-08,tablet,DE,free,45-54
207,2024-04-21,mobile,US,starter,18-24
208,2024-06-10,desktop,US,free,18-24
209,2024-06-25,desktop,UK,pro,35-44
210,2024-05-30,desktop,CA,free,25-34
211,2024-04-30,mobile,AU,starter,25-34
212,2024-05-01,mobile,CA,free,45-54
213,2024-01-07,desktop,AU,free,35-44
214,2024-03-04,desktop,US,free,55+
215,2024-06-19,tablet,UK,pro,25-34
216,2024-02-19,tablet,FR,pro,35-44
217,2024-05-24,desktop,DE,free,18-24
218,2024-01-28,desktop,US,starter,45-54
219,2024-06-13,desktop,US,starter,18-24
220,2024-02-21,mobile,UK,starter,35-44
221,2024-04-23,mobile,CA,free,25-34
222,2024-04-01,mobile,FR,free,55+
223,2024-02-12,desktop,CA,free,35-44
224,2024-05-06,mobile,US,pro,35-44
225,2024-04-05,mobile,US,free,45-54
226,2024-03-29,mobile,FR,starter,55+
227,2024-03-22,desktop,AU,pro,18-24
228,2024-06-10,mobile,US,pro,18-24
229,2024-05-14,mobile,US,pro,35-44
230,2024-01-20,tablet,US,pro,35-44
231,2024-01-12,mobile,US,free,45-54
232,2024-01-18,desktop,CA,free,18-24
233,2024-01-10,desktop,US,free,55+
234,2024-02-09,mobile,AU,free,25-34
235,2024-06-06,desktop,US,free,55+
236,2024-01-01,mobile,,pro,55+
237,2024-02-18,desktop,US,starter,25-34
238,2024-01-03,mobile,AU,free,18-24
239,2024-02-03,mobile,US,free,18-24
240,2024-05-24,mobile,US,free,55+
241,2024-01-22,mobile,US,starter,55+
242,2024-02-28,mobile,,free,45-54
243,2024-06-13,mobile,CA,free,45-54
244,2024-01-15,desktop,US,free,25-34
245,2024-02-23,desktop,UK,starter,45-54
246,2024-04-26,mobile,UK,starter,18-24
247,2024-06-03,desktop,DE,starter,55+
248,2024-05-19,desktop,US,pro,45-54
249,2024-03-06,desktop,US,starter,35-44
250,2024-03-23,mobile,US,pro,45-54
251,2024-01-14,mobile,US,free,35-44
252,2024-06-06,mobile,US,pro,55+
253,2024-03-05,desktop,US,starter,45-54
254,2024-06-17,tablet,US,free,35-44
255,2024-03-09,mobile,UK,free,45-54
256,2024-02-13,desktop,US,free,18-24
257,2024-05-28,mobile,US,free,55+
258,2024-05-29,desktop,CA,starter,18-24
259,2024-04-28,tablet,DE,free,25-34
260,2024-02-23,desktop,US,free,18-24
261,2024-02-05,desktop,UK,free,25-34
262,2024-05-23,desktop,US,starter,25-34
263,2024-03-14,mobile,US,free,35-44
264,2024-05-30,tablet,UK,pro,25-34
265,2024-01-31,desktop,US,free,45-54
266,2024-05-08,mobile,CA,free,25-34
267,2024-05-26,mobile,US,free,55+
268,2024-04-04,mobile,US,free,55+
269,2024-01-11,mobile,US,free,25-34
270,2024-05-28,mobile,US,free,45-54
271,2024-02-04,mobile,UK,free,55+
272,2024-06-10,desktop,US,free,18-24
273,2024-03-25,mobile,FR,starter,55+
274,2024-03-24,desktop,CA,free,18-24
275,2024-03-19,mobile,US,starter,55+
276,2024-03-30,desktop,FR,free,18-24
277,2024-02-17,mobile,US,free,35-44
278,2024-05-24,mobile,US,free,55+
279,2024-05-02,mobile,UK,pro,35-44
280,2024-03-09,desktop,DE,starter,25-34
281,2024-01-20,mobile,US,starter,18-24
282,2024-02-04,tablet,CA,free,55+
283,2024-05-27,desktop,CA,pro,55+
284,2024-03-03,desktop,CA,free,18-24
285,2024-04-01,mobile,US,free,18-24
286,2024-03-09,mobile,US,free,18-24
287,2024-03-12,desktop,US,starter,18-24
288,2024-04-29,desktop,US,free,18-24
289,2024-03-28,tablet,UK,free,55+
290,2024-04-02,mobile,,free,35-44
291,2024-05-18,mobile,CA,free,45-54
292,2024-03-26,mobile,CA,free,35-44
293,2024-03-16,mobile,US,free,35-44
294,2024-01-13,mobile,UK,free,35-44
295,2024-05-20,desktop,,starter,25-34
296,2024-03-05,mobile,CA,pro,35-44
297,2024-05-07,desktop,US,free,18-24
298,2024-03-01,desktop,CA,free,25-34
299,2024-05-10,desktop,FR,pro,55+
300,2024-01-19,desktop,US,free,35-44
301,2024-02-29,mobile,US,pro,45-54
302,2024-02-07,mobile,US,free,18-24
303,2024-04-08,desktop,DE,pro,18-24
304,2024-05-08,mobile,AU,free,45-54
305,2024-01-30,mobile,DE,starter,25-34
306,2024-05-20,mobile,US,starter,25-34
307,2024-03-27,desktop,AU,starter,25-34
308,2024-04-13,mobile,,starter,25-34
309,2024-03-12,desktop,UK,free,35-44
310,2024-05-31,mobile,UK,pro,25-34
311,2024-06-04,desktop,DE,free,45-54
312,2024-06-18,mobile,FR,starter,55+
313,2024-06-14,mobile,US,free,45-54
314,2024-06-24,mobile,DE,free,25-34
315,2024-06-07,mobile,US,free,18-24
316,2024-03-17,mobile,US,pro,35-44
317,2024-02-13,mobile,FR,starter,35-44
318,2024-06-02,mobile,US,pro,45-54
319,2024-05-15,desktop,AU,free,55+
320,2024-01-02,tablet,US,free,25-34
321,2024-04-16,tablet,CA,free,35-44
322,2024-02-16,mobile,US,free,55+
323,2024-03-29,mobile,DE,free,55+
324,2024-01-04,desktop,UK,starter,35-44
325,2024-03-24,mobile,US,free,25-34
326,2024-05-09,desktop,UK,free,55+
327,2024-04-15,mobile,,free,45-54
328,2024-06-18,mobile,CA,pro,35-44
329,2024-05-25,mobile,AU,free,18-24
330,2024-05-29,desktop,AU,free,35-44
331,2024-04-16,mobile,CA,starter,45-54
332,2024-05-15,mobile,US,free,45-54
333,2024-01-08,mobile,US,free,18-24
334,2024-03-02,tablet,UK,pro,55+
335,2024-04-01,mobile,AU,free,35-44
336,2024-06-16,desktop,DE,free,18-24
337,2024-06-04,mobile,FR,starter,45-54
338,2024-03-06,tablet,UK,free,55+
339,2024-02-21,desktop,AU,free,55+
340,2024-06-08,mobile,US,free,35-44
341,2024-05-08,mobile,US,starter,25-34
342,2024-05-13,mobile,US,starter,35-44
343,2024-04-29,tablet,US,pro,18-24
344,2024-01-15,desktop,US,free,25-34
345,2024-01-07,mobile,CA,starter,18-24
346,2024-01-25,mobile,AU,free,45-54
347,2024-04-20,mobile,US,free,35-44
348,2024-03-13,mobile,US,free,35-44
349,2024-03-18,mobile,US,pro,18-24
350,2024-05-22,mobile,UK,pro,18-24
351,2024-02-20,desktop,CA,free,55+
352,2024-02-25,desktop,,free,25-34
353,2024-06-14,mobile,US,starter,18-24
354,2024-06-06,desktop,DE,free,35-44
355,2024-05-17,mobile,UK,pro,25-34
356,2024-05-18,desktop,CA,free,35-44
357,2024-04-08,mobile,,starter,25-34
358,2024-06-02,mobile,US,free,45-54
359,2024-06-05,tablet,US,pro,18-24
360,2024-03-01,mobile,CA,free,45-54
361,2024-05-29,mobile,UK,free,35-44
362,2024-05-04,mobile,UK,free,25-34
363,2024-06-19,desktop,UK,free,25-34
364,2024-03-25,mobile,DE,starter,55+
365,2024-01-30,mobile,US,pro,25-34
366,2024-03-08,tablet,UK,free,18-24
367,2024-02-18,mobile,,free,35-44
368,2024-04-29,mobile,UK,free,55+
369,2024-01-30,mobile,CA,pro,35-44
370,2024-06-12,tablet,US,starter,18-24
371,2024-01-09,tablet,AU,free,25-34
372,2024-05-28,desktop,CA,free,55+
373,2024-02-26,desktop,US,free,45-54
374,2024-02-27,mobile,CA,free,45-54
375,2024-04-04,mobile,US,free,35-44
376,2024-05-22,tablet,US,free,35-44
377,2024-04-09,desktop,US,free,35-44
378,2024-03-28,mobile,US,free,45-54
379,2024-06-16,desktop,US,starter,25-34
380,2024-06-06,mobile,UK,free,25-34
381,2024-04-06,tablet,UK,starter,45-54
382,2024-01-05,mobile,US,free,25-34
383,2024-02-11,desktop,US,free,55+
384,2024-06-20,desktop,CA,free,18-24
385,2024-06-13,mobile,US,free,35-44
386,2024-05-28,mobile,US,free,55+
387,2024-02-07,mobile,US,free,45-54
388,2024-05-28,mobile,DE,starter,55+
389,2024-01-24,mobile,US,free,35-44
390,2024-04-18,tablet,AU,free,55+
391,2024-03-18,mobile,US,free,35-44
392,2024-06-05,mobile,UK,starter,55+
393,2024-01-28,mobile,CA,free,55+
394,2024-05-23,desktop,UK,free,55+
395,2024-04-13,mobile,UK,free,18-24
396,2024-03-12,mobile,US,free,35-44
397,2024-06-03,desktop,DE,starter,55+
398,2024-04-02,mobile,CA,pro,55+
399,2024-04-22,mobile,US,free,55+
400,2024-05-02,desktop,AU,free,25-34
401,2024-01-07,desktop,CA,free,45-54
402,2024-03-01,mobile,US,free,55+
403,2024-05-30,desktop,UK,starter,18-24
404,2024-05-17,mobile,US,free,45-54
405,2024-04-12,mobile,,free,55+
406,2024-03-07,mobile,CA,starter,35-44
407,2024-04-28,mobile,,free,35-44
408,2024-02-13,tablet,,starter,25-34
409,2024-05-14,desktop,US,free,35-44
410,2024-02-25,mobile,CA,free,45-54
411,2024-06-07,mobile,AU,free,18-24
412,2024-02-25,tablet,US,pro,35-44
413,2024-05-25,mobile,US,free,55+
414,2024-05-15,mobile,US,starter,25-34
415,2024-02-17,mobile,FR,free,25-34
416,2024-01-11,mobile,US,free,25-34
417,2024-01-02,tablet,,free,45-54
418,2024-04-02,desktop,AU,free,35-44
419,2024-05-05,mobile,AU,starter,25-34
420,2024-04-13,desktop,DE,free,25-34
421,2024-03-22,desktop,US,pro,45-54
422,2024-06-02,mobile,FR,pro,35-44
423,2024-06-19,mobile,US,starter,35-44
424,2024-02-25,mobile,CA,free,25-34
425,2024-06-14,mobile,US,starter,35-44
426,2024-02-01,desktop,CA,starter,18-24
427,2024-05-23,mobile,US,starter,25-34
428,2024-02-04,desktop,CA,free,45-54
429,2024-04-10,mobile,US,free,25-34
430,2024-04-02,mobile,US,free,25-34
431,2024-03-27,desktop,,free,55+
432,2024-01-03,mobile,US,free,18-24
433,2024-03-31,mobile,US,free,35-44
434,2024-05-14,mobile,FR,free,55+
435,2024-02-12,mobile,US,free,55+
436,2024-03-13,mobile,UK,free,55+
437,2024-06-04,desktop,US,free,55+
438,2024-06-18,desktop,UK,free,35-44
439,2024-01-16,tablet,US,starter,55+
440,2024-02-09,desktop,US,free,55+
441,2024-03-26,mobile,US,free,18-24
442,2024-06-23,mobile,DE,free,55+
443,2024-03-21,mobile,US,free,35-44
444,2024-05-20,mobile,US,free,25-34
445,2024-04-22,mobile,US,starter,55+
446,2024-01-12,tablet,US,pro,18-24
447,2024-02-25,mobile,AU,starter,45-54
448,2024-03-13,tablet,US,starter,45-54
449,2024-03-13,mobile,,starter,25-34
450,2024-05-06,desktop,US,pro,45-54
451,2024-04-12,mobile,,starter,18-24
452,2024-02-27,mobile,CA,free,45-54
453,2024-06-08,mobile,UK,free,25-34
454,2024-06-18,desktop,US,starter,45-54
455,2024-04-29,desktop,FR,free,25-34
456,2024-01-14,mobile,US,free,18-24
457,2024-02-17,desktop,US,free,25-34
458,2024-05-26,desktop,US,free,35-44
459,2024-02-15,desktop,AU,free,55+
460,2024-05-30,desktop,US,free,25-34
461,2024-05-08,mobile,US,free,55+
462,2024-04-24,desktop,FR,starter,45-54
463,2024-04-17,mobile,,pro,45-54
464,2024-06-01,mobile,CA,free,35-44
465,2024-03-14,mobile,UK,free,25-34
466,2024-02-28,desktop,US,free,18-24
467,2024-04-19,mobile,US,free,45-54
468,2024-02-17,mobile,US,free,45-54
469,2024-06-13,mobile,UK,starter,18-24
470,2024-02-22,mobile,CA,free,18-24
471,2024-02-06,desktop,UK,starter,25-34
472,2024-04-03,mobile,FR,free,18-24
473,2024-02-11,tablet,,free,45-54
474,2024-06-26,mobile,CA,free,25-34
475,2024-04-17,mobile,US,free,35-44
476,2024-02-29,mobile,UK,free,18-24
477,2024-06-04,tablet,UK,starter,25-34
478,2024-03-12,mobile,US,starter,25-34
479,2024-01-04,mobile,FR,free,45-54
480,2024-02-27,mobile,US,free,25-34
481,2024-04-06,desktop,FR,free,45-54
482,2024-05-20,desktop,UK,free,35-44
483,2024-02-02,mobile,UK,free,55+
484,2024-05-04,tablet,UK,starter,18-24
485,2024-06-07,desktop,AU,free,25-34
486,2024-01-14,desktop,US,free,35-44
487,2024-01-12,desktop,CA,starter,45-54
488,2024-05-08,mobile,US,free,18-24
489,2024-01-04,mobile,US,pro,18-24
490,2024-04-07,desktop,CA,starter,25-34
491,2024-01-21,tablet,UK,free,55+
492,2024-04-12,mobile,US,starter,18-24
493,2024-03-13,tablet,UK,free,25-34
494,2024-02-28,desktop,DE,starter,18-24
495,2024-01-19,mobile,US,free,18-24
496,2024-05-16,mobile,UK,free,35-44
497,2024-04-19,tablet,,pro,18-24
498,2024-02-14,mobile,DE,pro,45-54
499,2024-02-22,mobile,US,pro,55+
500,2024-04-19,desktop,US,starter,18-24
