user_id,variant,assignment_date,converted,page_load_ms
74,control,2026-03-06,0,916
75,treatment,2026-03-04,0,1371
76,treatment,2026-03-13,0,1151
77,treatment,2026-03-07,1,782
78,treatment,2026-03-13,0,1358
79,control,2026-03-07,0,992
80,treatment,2026-03-03,0,618
81,control,2026-03-09,0,1414
82,control,2026-03-08,0,1400
83,treatment,2026-03-02,1,2413
84,control,2026-03-08,0,1081
85,control,2026-03-02,0,1227
86,treatment,2026-03-14,0,1300
87,treatment,2026-03-10,1,2580
88,treatment,2026-03-13,1,1144
89,treatment,2026-03-04,1,1203
90,control,2026-03-14,1,1389
91,treatment,2026-03-02,0,1537
92,control,2026-03-08,1,1719
93,control,2026-03-02,0,1795
94,treatment,2026-03-11,0,2691
95,treatment,2026-03-07,1,721
96,treatment,2026-03-04,1,2057
97,control,2026-03-06,0,1422
98,treatment,2026-03-12,1,1660
99,treatment,2026-03-14,0,1434
100,control,2026-03-14,0,1476
101,control,2026-03-11,0,1715
102,control,2026-03-05,1,1291
103,control,2026-03-03,0,1685
104,treatment,2026-03-14,0,1972
105,treatment,2026-03-12,0,1244
106,control,2026-03-12,1,1231
107,treatment,2026-03-03,0,875
108,control,2026-03-08,1,606
109,treatment,2026-03-12,0,616
110,control,2026-03-13,1,1228
111,treatment,2026-03-13,0,1391
112,treatment,2026-03-02,1,1438
113,control,2026-03-08,1,1471
114,treatment,2026-03-09,0,2862
115,treatment,2026-03-04,1,1130
116,treatment,2026-03-08,0,2519
117,control,2026-03-05,0,1523
118,control,2026-03-13,0,1946
119,treatment,2026-03-13,0,820
120,control,2026-03-05,1,1411
121,treatment,2026-03-05,1,1617
122,treatment,2026-03-05,0,1011
123,treatment,2026-03-06,0,534
124,control,2026-03-09,1,624
125,control,2026-03-05,1,1000
126,treatment,2026-03-02,1,911
127,treatment,2026-03-04,1,837
128,treatment,2026-03-10,1,1222
129,control,2026-03-03,0,1666
130,control,2026-03-11,0,1289
131,control,2026-03-05,1,1280
132,control,2026-03-13,0,1273
133,control,2026-03-14,1,1585
134,control,2026-03-05,1,1860
135,treatment,2026-03-04,0,916
136,treatment,2026-03-04,0,1611
137,control,2026-03-09,0,855
138,control,2026-03-03,0,1347
139,treatment,2026-03-10,0,1483
140,treatment,2026-03-05,0,1026
141,control,2026-03-09,0,590
142,treatment,2026-03-06,0,1363
143,control,2026-03-02,0,1179
144,control,2026-03-07,0,1385
145,treatment,2026-03-10,0,2310
146,control,2026-03-02,0,778
147,treatment,2026-03-10,0,1421
148,treatment,2026-03-14,0,1033
149,treatment,2026-03-10,0,1414
150,control,2026-03-07,0,592
151,control,2026-03-09,0,1621
152,control,2026-03-06,1,725
153,treatment,2026-03-12,1,1041
154,treatment,2026-03-05,0,2070
155,control,2026-03-04,0,984
156,treatment,2026-03-05,0,2165
157,treatment,2026-03-14,0,563
158,treatment,2026-03-11,0,1706
159,control,2026-03-02,0,1610
160,control,2026-03-15,0,1054
161,control,2026-03-03,1,658
162,treatment,2026-03-07,1,1151
163,control,2026-03-05,0,2051
164,treatment,2026-03-04,0,1265
165,control,2026-03-08,1,2138
166,treatment,2026-03-11,1,1592
167,treatment,2026-03-14,0,370
168,treatment,2026-03-14,0,2396
169,control,2026-03-11,0,2014
170,control,2026-03-12,0,523
171,treatment,2026-03-02,0,832
172,treatment,2026-03-15,1,1062
173,control,2026-03-02,0,1384
174,treatment,2026-03-10,0,1836
175,treatment,2026-03-03,0,846
176,treatment,2026-03-11,0,2192
177,treatment,2026-03-08,1,1040
178,control,2026-03-08,0,769
179,treatment,2026-03-15,0,1175
180,control,2026-03-03,1,1428
181,treatment,2026-03-03,0,2970
182,treatment,2026-03-08,0,1862
183,control,2026-03-07,0,1950
184,treatment,2026-03-08,1,746
185,treatment,2026-03-07,1,799
186,control,2026-03-04,0,1407
187,treatment,2026-03-05,1,2027
188,control,2026-03-13,0,901
189,treatment,2026-03-08,0,1160
190,control,2026-03-02,0,781
191,control,2026-03-06,0,1298
192,control,2026-03-10,0,1211
193,treatment,2026-03-08,0,1291
194,treatment,2026-03-11,0,2414
195,treatment,2026-03-05,1,787
196,treatment,2026-03-10,0,1612
197,treatment,2026-03-03,0,1179
198,treatment,2026-03-13,0,1527
199,control,2026-03-09,0,1270
200,treatment,2026-03-05,0,1127
201,treatment,2026-03-05,1,1975
202,treatment,2026-03-03,1,1887
203,control,2026-03-11,0,994
204,control,2026-03-05,0,1065
205,treatment,2026-03-07,0,1709
206,treatment,2026-03-11,0,2221
207,control,2026-03-11,0,2302
208,control,2026-03-06,0,656
209,control,2026-03-10,0,1730
210,control,2026-03-08,0,1369
211,treatment,2026-03-03,0,1044
212,control,2026-03-05,0,1231
213,treatment,2026-03-02,1,1509
214,control,2026-03-06,0,1286
215,treatment,2026-03-08,0,1564
216,treatment,2026-03-08,0,2456
217,treatment,2026-03-02,1,1309
218,control,2026-03-06,1,825
219,treatment,2026-03-10,1,1681
220,control,2026-03-09,0,1355
221,treatment,2026-03-14,1,1712
222,treatment,2026-03-11,0,1654
223,treatment,2026-03-10,0,920
224,control,2026-03-05,0,759
225,treatment,2026-03-04,1,1362
226,treatment,2026-03-04,1,1546
227,control,2026-03-13,0,2575
228,control,2026-03-14,0,1114
229,control,2026-03-07,0,1025
230,control,2026-03-12,1,709
231,treatment,2026-03-09,0,1351
232,treatment,2026-03-04,0,1214
233,control,2026-03-04,0,1276
234,treatment,2026-03-13,1,802
235,treatment,2026-03-08,0,1640
236,treatment,2026-03-03,0,834
237,control,2026-03-10,0,1224
238,treatment,2026-03-11,1,2393
239,control,2026-03-15,0,1173
240,treatment,2026-03-05,0,2327
241,control,2026-03-08,0,1074
242,control,2026-03-10,0,1665
243,treatment,2026-03-14,1,1120
244,control,2026-03-13,0,1304
245,control,2026-03-10,1,805
246,control,2026-03-14,1,1317
247,treatment,2026-03-04,0,1334
248,control,2026-03-02,0,2112
249,control,2026-03-04,1,1025
250,control,2026-03-05,0,1198
251,treatment,2026-03-14,0,1619
252,treatment,2026-03-12,0,1411
253,treatment,2026-03-09,0,1157
254,control,2026-03-13,0,1735
255,control,2026-03-02,0,1333
256,control,2026-03-15,1,1197
257,control,2026-03-04,0,882
258,treatment,2026-03-04,1,1904
259,control,2026-03-15,1,1979
260,treatment,2026-03-12,0,1672
261,treatment,2026-03-07,0,512
262,treatment,2026-03-04,1,1044
263,control,2026-03-11,1,760
264,control,2026-03-12,1,918
265,treatment,2026-03-14,0,1053
266,control,2026-03-06,1,1086
267,control,2026-03-05,1,1842
268,control,2026-03-10,1,825
269,control,2026-03-13,0,878
270,control,2026-03-02,0,1023
271,treatment,2026-03-13,1,1468
272,control,2026-03-06,1,617
273,treatment,2026-03-02,1,1414
274,control,2026-03-02,1,1524
275,control,2026-03-13,0,1211
276,treatment,2026-03-08,0,2162
277,treatment,2026-03-07,0,1411
278,treatment,2026-03-05,0,1501
279,control,2026-03-03,0,1445
280,control,2026-03-12,1,1332
281,control,2026-03-11,0,791
282,treatment,2026-03-12,1,1687
283,treatment,2026-03-11,0,1016
284,treatment,2026-03-05,0,975
285,treatment,2026-03-02,1,2024
286,treatment,2026-03-08,0,1521
287,treatment,2026-03-12,0,1288
288,control,2026-03-04,0,627
289,treatment,2026-03-02,1,1214
290,treatment,2026-03-09,1,847
291,control,2026-03-15,0,1723
292,treatment,2026-03-07,0,1399
293,treatment,2026-03-13,1,3896
294,control,2026-03-14,1,1223
295,treatment,2026-03-12,1,1276
296,treatment,2026-03-15,0,1886
297,control,2026-03-06,0,1226
298,treatment,2026-03-14,0,1644
299,treatment,2026-03-08,0,1170
300,control,2026-03-10,1,450
301,control,2026-03-03,0,902
302,control,2026-03-13,0,1193
303,control,2026-03-05,0,812
304,control,2026-03-09,0,1240
305,treatment,2026-03-11,0,1460
306,control,2026-03-09,1,584
307,treatment,2026-03-09,1,1034
308,treatment,2026-03-08,0,1632
309,control,2026-03-10,0,1526
310,control,2026-03-02,1,1810
311,control,2026-03-15,0,1384
312,control,2026-03-08,0,943
313,control,2026-03-14,0,1635
314,control,2026-03-12,0,783
315,control,2026-03-10,0,1527
316,treatment,2026-03-15,1,888
317,control,2026-03-10,0,1167
318,control,2026-03-06,1,988
319,treatment,2026-03-06,1,1520
320,treatment,2026-03-11,1,1199
321,control,2026-03-12,0,1151
322,treatment,2026-03-03,1,1158
323,control,2026-03-14,0,1173
324,control,2026-03-13,0,1606
325,control,2026-03-07,0,1210
326,treatment,2026-03-06,1,1142
327,control,2026-03-09,1,1656
328,control,2026-03-08,0,1268
329,treatment,2026-03-12,1,1921
330,treatment,2026-03-04,1,2440
331,control,2026-03-10,1,1759
332,control,2026-03-11,1,839
333,control,2026-03-10,0,1897
334,control,2026-03-11,0,2145
335,control,2026-03-12,0,1045
336,treatment,2026-03-12,0,1061
337,control,2026-03-10,0,1503
338,treatment,2026-03-04,0,2072
339,treatment,2026-03-07,1,1462
340,treatment,2026-03-08,0,1256
341,treatment,2026-03-10,1,1945
342,control,2026-03-07,0,875
343,treatment,2026-03-07,0,715
344,treatment,2026-03-06,1,1227
345,treatment,2026-03-14,0,1115
346,treatment,2026-03-15,0,1508
347,treatment,2026-03-03,1,1655
348,treatment,2026-03-09,0,1415
349,control,2026-03-08,1,905
350,control,2026-03-15,0,961
351,treatment,2026-03-12,0,1564
352,control,2026-03-02,0,1347
353,control,2026-03-04,0,1120
354,treatment,2026-03-15,1,2589
355,control,2026-03-11,0,877
356,control,2026-03-08,1,667
357,treatment,2026-03-11,0,1477
358,control,2026-03-02,0,541
359,control,2026-03-06,0,1061
360,control,2026-03-03,0,1424
361,treatment,2026-03-03,0,1795
362,control,2026-03-10,0,1695
363,treatment,2026-03-15,1,1368
364,control,2026-03-06,0,1074
365,control,2026-03-06,0,937
366,treatment,2026-03-12,0,1342
367,control,2026-03-09,0,1117
368,treatment,2026-03-05,0,1401
369,control,2026-03-11,0,1936
370,treatment,2026-03-12,0,2849
371,control,2026-03-07,0,855
372,control,2026-03-06,0,983
373,control,2026-03-04,0,2050
374,treatment,2026-03-10,1,1416
375,treatment,2026-03-04,0,1851
376,control,2026-03-11,1,1051
377,treatment,2026-03-13,0,1359
378,treatment,2026-03-11,0,1696
379,control,2026-03-07,0,680
380,treatment,2026-03-13,0,1082
381,control,2026-03-05,0,1402
382,treatment,2026-03-04,0,906
383,treatment,2026-03-14,0,1201
384,control,2026-03-05,0,1058
385,control,2026-03-11,0,638
386,treatment,2026-03-11,0,1406
387,control,2026-03-02,0,1092
388,control,2026-03-15,1,2054
389,treatment,2026-03-14,0,1444
390,control,2026-03-06,1,1525
391,treatment,2026-03-12,0,795
392,control,2026-03-11,0,1353
393,treatment,2026-03-03,1,1599
394,control,2026-03-15,1,1129
395,control,2026-03-10,0,727
396,treatment,2026-03-05,0,1183
397,control,2026-03-13,1,1080
398,treatment,2026-03-06,0,1803
399,control,2026-03-09,1,1030
400,treatment,2026-03-11,0,1357
401,control,2026-03-12,1,1750
402,treatment,2026-03-14,1,1428
403,control,2026-03-11,0,1078
404,treatment,2026-03-10,0,1288
405,control,2026-03-13,0,1367
406,treatment,2026-03-08,0,1770
407,control,2026-03-05,1,473
408,treatment,2026-03-03,0,2084
409,control,2026-03-09,0,1183
410,treatment,2026-03-06,1,1407
411,control,2026-03-09,0,1209
412,treatment,2026-03-15,0,1414
413,treatment,2026-03-11,0,1832
414,treatment,2026-03-15,0,1465
415,control,2026-03-09,0,1310
416,control,2026-03-15,0,1810
417,control,2026-03-05,1,922
418,control,2026-03-08,1,1119
419,control,2026-03-12,1,973
420,treatment,2026-03-02,0,1783
421,treatment,2026-03-10,0,1249
422,treatment,2026-03-04,0,1778
423,treatment,2026-03-12,0,1469
424,treatment,2026-03-09,0,826
425,control,2026-03-03,1,1665
426,control,2026-03-08,1,769
427,control,2026-03-15,0,1360
428,control,2026-03-14,0,1521
429,control,2026-03-14,0,885
430,control,2026-03-10,0,1625
431,treatment,2026-03-15,0,1281
432,control,2026-03-12,0,604
433,treatment,2026-03-11,0,785
434,treatment,2026-03-04,1,616
435,treatment,2026-03-13,0,1519
436,control,2026-03-15,0,618
437,control,2026-03-05,1,883
438,treatment,2026-03-13,0,2170
439,control,2026-03-05,1,1640
440,control,2026-03-09,1,1252
441,treatment,2026-03-04,1,896
442,control,2026-03-04,0,1154
443,control,2026-03-13,0,2701
444,treatment,2026-03-09,0,634
445,control,2026-03-09,0,1116
446,treatment,2026-03-02,0,1669
447,control,2026-03-05,1,1406
448,treatment,2026-03-07,1,2309
449,treatment,2026-03-03,1,1329
450,treatment,2026-03-03,1,1285
451,treatment,2026-03-07,0,916
452,control,2026-03-12,0,1752
453,treatment,2026-03-08,0,1142
454,treatment,2026-03-15,0,677
455,treatment,2026-03-09,0,1874
456,control,2026-03-04,0,1135
457,treatment,2026-03-02,0,1163
458,control,2026-03-10,0,1362
459,control,2026-03-15,1,1033
460,control,2026-03-05,0,775
461,treatment,2026-03-13,0,1308
462,treatment,2026-03-15,0,1484
463,treatment,2026-03-09,0,1184
464,treatment,2026-03-13,0,1382
465,control,2026-03-08,0,1234
466,control,2026-03-15,1,1267
467,control,2026-03-07,0,930
468,control,2026-03-14,0,1934
469,treatment,2026-03-15,1,2054
470,control,2026-03-02,0,785
471,control,2026-03-09,0,1581
472,treatment,2026-03-04,0,1246
473,treatment,2026-03-04,0,1196
474,control,2026-03-05,0,1635
475,treatment,2026-03-14,1,1248
476,treatment,2026-03-12,0,940
477,treatment,2026-03-05,0,1631
478,treatment,2026-03-04,1,1541
479,control,2026-03-15,0,1311
480,treatment,2026-03-13,0,805
481,treatment,2026-03-10,1,1048
482,treatment,2026-03-02,0,878
483,control,2026-03-06,1,2142
484,control,2026-03-14,0,777
485,treatment,2026-03-05,0,1289
486,control,2026-03-12,1,1196
487,control,2026-03-10,1,1256
488,treatment,2026-03-15,1,1161
489,control,2026-03-06,0,1279
490,control,2026-03-04,0,1506
491,control,2026-03-03,0,586
492,control,2026-03-05,0,1155
493,treatment,2026-03-06,1,1194
494,treatment,2026-03-02,0,1608
495,treatment,2026-03-09,0,1428
496,treatment,2026-03-11,0,1695
497,treatment,2026-03-15,1,1073
498,control,2026-03-15,1,975
499,control,2026-03-12,1,1492
500,treatment,2026-03-07,0,1505
501,treatment,2026-03-09,0,741
502,control,2026-03-03,1,919
503,treatment,2026-03-13,1,3037
504,control,2026-03-15,1,990
505,control,2026-03-10,0,991
506,treatment,2026-03-14,1,1462
507,treatment,2026-03-08,0,2181
508,treatment,2026-03-10,1,759
509,treatment,2026-03-06,1,896
510,control,2026-03-03,0,991
511,treatment,2026-03-06,1,899
512,control,2026-03-09,0,2772
513,treatment,2026-03-13,0,683
514,treatment,2026-03-15,0,1780
515,control,2026-03-08,0,1283
516,treatment,2026-03-08,0,1441
517,treatment,2026-03-10,1,1572
518,control,2026-03-06,0,1507
519,control,2026-03-05,0,1101
520,control,2026-03-06,0,832
521,treatment,2026-03-13,1,1414
522,treatment,2026-03-14,1,712
523,treatment,2026-03-04,0,1022
524,treatment,2026-03-02,1,1581
525,treatment,2026-03-14,0,1327
526,control,2026-03-06,0,801
527,treatment,2026-03-04,0,1100
528,treatment,2026-03-03,1,2227
529,control,2026-03-04,0,1258
530,control,2026-03-05,0,1571
531,treatment,2026-03-04,1,1291
532,treatment,2026-03-12,0,935
533,treatment,2026-03-04,1,497
534,control,2026-03-15,0,1253
535,treatment,2026-03-05,0,1313
536,treatment,2026-03-07,0,1683
537,treatment,2026-03-03,1,930
538,control,2026-03-05,1,1050
539,control,2026-03-12,1,977
540,treatment,2026-03-03,1,1067
541,control,2026-03-13,0,1859
542,control,2026-03-02,0,864
543,treatment,2026-03-06,0,954
544,control,2026-03-10,0,1439
545,treatment,2026-03-06,1,783
546,treatment,2026-03-07,0,584
547,control,2026-03-14,0,1300
548,treatment,2026-03-03,1,1131
549,treatment,2026-03-10,0,962
550,treatment,2026-03-12,1,761
551,control,2026-03-08,0,1161
552,treatment,2026-03-03,0,1049
553,control,2026-03-05,0,1634
554,control,2026-03-07,1,1441
555,control,2026-03-07,0,2589
556,treatment,2026-03-15,1,1557
557,treatment,2026-03-15,0,1351
558,control,2026-03-02,0,1102
559,control,2026-03-09,0,911
560,control,2026-03-07,0,1388
561,control,2026-03-11,0,717
562,control,2026-03-10,0,628
563,control,2026-03-05,0,1059
564,control,2026-03-04,1,2871
565,control,2026-03-04,0,1161
566,treatment,2026-03-15,0,2097
567,control,2026-03-12,0,890
568,control,2026-03-05,0,1213
569,treatment,2026-03-13,0,1664
570,treatment,2026-03-11,0,1582
571,control,2026-03-06,1,1286
572,control,2026-03-07,1,1070
573,control,2026-03-12,0,368
574,treatment,2026-03-15,0,1016
575,control,2026-03-12,1,1132
576,control,2026-03-04,0,1021
577,control,2026-03-15,0,1599
578,control,2026-03-13,1,1004
579,control,2026-03-07,0,1481
580,treatment,2026-03-13,1,1590
581,treatment,2026-03-10,1,1971
582,treatment,2026-03-07,0,1336
583,control,2026-03-13,0,1439
584,control,2026-03-04,0,945
585,treatment,2026-03-03,0,1351
586,control,2026-03-04,0,528
587,treatment,2026-03-09,0,1550
588,treatment,2026-03-12,1,894
589,treatment,2026-03-10,0,1486
590,treatment,2026-03-10,0,1705
591,treatment,2026-03-07,0,1446
592,control,2026-03-03,0,535
593,treatment,2026-03-05,1,1622
594,control,2026-03-07,0,944
595,treatment,2026-03-03,0,1029
596,treatment,2026-03-02,0,1655
597,control,2026-03-03,0,672
598,treatment,2026-03-11,1,1424
599,control,2026-03-06,1,1048
600,treatment,2026-03-10,0,985
601,control,2026-03-10,1,836
602,treatment,2026-03-02,1,1851
603,control,2026-03-12,1,1381
604,treatment,2026-03-08,0,2027
605,treatment,2026-03-15,1,1412
606,control,2026-03-05,1,672
607,treatment,2026-03-15,1,903
608,treatment,2026-03-03,0,2347
609,treatment,2026-03-05,1,1298
610,control,2026-03-12,1,2413
611,control,2026-03-12,1,1465
612,treatment,2026-03-02,1,1274
613,control,2026-03-11,0,1250
614,control,2026-03-09,0,1503
615,treatment,2026-03-10,1,882
616,treatment,2026-03-13,0,1784
617,treatment,2026-03-03,1,689
618,control,2026-03-11,0,1353
619,treatment,2026-03-10,1,1896
620,treatment,2026-03-11,0,1144
621,treatment,2026-03-11,1,1503
622,control,2026-03-10,0,1780
623,control,2026-03-15,0,1954
624,control,2026-03-14,0,1526
625,control,2026-03-07,1,2329
626,treatment,2026-03-02,0,953
627,control,2026-03-09,1,1380
628,control,2026-03-04,0,915
629,control,2026-03-11,0,940
630,treatment,2026-03-14,0,1111
631,control,2026-03-07,1,964
632,treatment,2026-03-03,0,1397
633,control,2026-03-13,1,1357
634,control,2026-03-08,0,909
635,treatment,2026-03-14,1,1371
636,treatment,2026-03-06,0,1079
637,treatment,2026-03-08,0,2293
638,control,2026-03-11,1,1153
639,control,2026-03-13,0,1561
640,treatment,2026-03-14,0,1814
641,treatment,2026-03-12,1,1688
642,treatment,2026-03-11,0,2113
643,control,2026-03-03,0,1250
644,treatment,2026-03-09,1,1529
645,treatment,2026-03-05,1,1418
646,treatment,2026-03-15,0,2350
647,control,2026-03-14,0,747
648,control,2026-03-15,0,1868
649,control,2026-03-06,1,1336
650,control,2026-03-12,0,1439
651,control,2026-03-15,0,1845
652,control,2026-03-12,0,2844
653,control,2026-03-11,1,1812
654,treatment,2026-03-03,0,1494
655,treatment,2026-03-05,1,995
656,control,2026-03-06,0,1511
657,treatment,2026-03-13,0,1446
658,treatment,2026-03-12,0,1096
659,control,2026-03-09,1,1069
660,treatment,2026-03-04,0,1724
661,treatment,2026-03-06,0,2045
662,treatment,2026-03-13,0,1329
663,control,2026-03-15,0,1117
664,treatment,2026-03-14,0,1922
665,control,2026-03-02,1,930
666,control,2026-03-06,1,1046
667,control,2026-03-07,0,1983
668,treatment,2026-03-09,0,945
669,control,2026-03-02,0,1127
670,control,2026-03-13,1,1706
671,treatment,2026-03-11,1,2549
672,treatment,2026-03-14,0,914
673,control,2026-03-04,1,1806
674,treatment,2026-03-10,0,2738
675,control,2026-03-09,0,1018
676,control,2026-03-02,0,3341
677,control,2026-03-02,0,1022
678,control,2026-03-09,0,1386
679,control,2026-03-10,0,1348
680,treatment,2026-03-14,1,1937
681,treatment,2026-03-05,0,1231
682,treatment,2026-03-04,1,1815
683,control,2026-03-04,0,1147
684,control,2026-03-08,0,1171
685,control,2026-03-14,0,1748
686,treatment,2026-03-08,1,1201
687,control,2026-03-14,0,1405
688,treatment,2026-03-06,0,1611
689,treatment,2026-03-08,0,1831
690,treatment,2026-03-09,1,1935
691,control,2026-03-08,0,1891
692,treatment,2026-03-03,1,1073
693,control,2026-03-08,1,990
694,control,2026-03-04,1,912
695,treatment,2026-03-05,0,579
696,treatment,2026-03-09,1,1644
697,treatment,2026-03-06,0,1291
698,treatment,2026-03-13,1,1031
699,treatment,2026-03-12,1,1798
700,control,2026-03-02,1,1116
701,treatment,2026-03-03,1,1469
702,control,2026-03-03,1,983
703,treatment,2026-03-09,1,1349
704,treatment,2026-03-05,0,1472
705,control,2026-03-13,0,723
706,control,2026-03-05,1,1331
707,treatment,2026-03-03,0,1191
708,treatment,2026-03-05,0,1585
709,control,2026-03-06,0,959
710,control,2026-03-09,1,1922
711,treatment,2026-03-11,0,1340
712,treatment,2026-03-08,1,640
713,treatment,2026-03-08,0,1159
714,control,2026-03-11,1,944
715,control,2026-03-11,0,1096
716,treatment,2026-03-12,1,1335
717,treatment,2026-03-09,0,945
718,treatment,2026-03-12,1,1535
719,treatment,2026-03-05,0,1846
720,treatment,2026-03-13,0,2089
721,control,2026-03-15,1,1245
722,control,2026-03-06,0,1251
723,treatment,2026-03-11,0,937
724,treatment,2026-03-11,1,1438
725,control,2026-03-07,1,1009
726,treatment,2026-03-02,0,1808
727,control,2026-03-15,0,1212
728,control,2026-03-09,0,1031
729,treatment,2026-03-08,0,2844
730,control,2026-03-11,1,720
731,treatment,2026-03-04,1,888
732,control,2026-03-11,0,1076
733,control,2026-03-06,0,879
734,treatment,2026-03-11,0,1267
735,treatment,2026-03-10,1,1068
736,treatment,2026-03-14,0,967
737,treatment,2026-03-05,1,2178
738,control,2026-03-08,1,1044
739,treatment,2026-03-07,1,1609
740,treatment,2026-03-12,0,1044
741,control,2026-03-14,1,1321
742,control,2026-03-04,1,1233
743,control,2026-03-08,1,888
744,control,2026-03-10,0,1579
745,control,2026-03-10,0,1036
746,control,2026-03-11,1,1664
747,control,2026-03-12,1,1547
748,treatment,2026-03-13,1,1238
749,treatment,2026-03-07,0,1689
750,control,2026-03-02,1,835
751,control,2026-03-14,0,1761
752,control,2026-03-12,0,2643
753,treatment,2026-03-14,1,1296
754,treatment,2026-03-11,1,1818
755,control,2026-03-06,0,1441
756,treatment,2026-03-11,0,2893
757,control,2026-03-08,0,1800
758,control,2026-03-12,0,1682
759,treatment,2026-03-09,1,1569
760,treatment,2026-03-07,0,1247
761,control,2026-03-14,0,1306
762,control,2026-03-06,0,639
763,treatment,2026-03-12,0,1254
764,control,2026-03-08,0,923
765,control,2026-03-05,1,980
766,control,2026-03-15,1,844
767,treatment,2026-03-02,0,1026
768,treatment,2026-03-10,1,1227
769,treatment,2026-03-02,1,1708
770,control,2026-03-12,0,1494
771,treatment,2026-03-04,1,1222
772,control,2026-03-15,0,1139
773,control,2026-03-08,0,961
774,treatment,2026-03-03,0,1098
775,treatment,2026-03-08,1,1001
776,treatment,2026-03-14,1,1939
777,treatment,2026-03-04,1,1641
778,control,2026-03-06,0,528
779,control,2026-03-06,0,1362
780,treatment,2026-03-08,0,1316
781,treatment,2026-03-07,1,734
782,treatment,2026-03-11,1,936
783,control,2026-03-13,0,1451
784,control,2026-03-04,1,1196
785,treatment,2026-03-14,1,1215
786,treatment,2026-03-10,1,1152
787,control,2026-03-04,0,1568
788,treatment,2026-03-11,0,1366
789,treatment,2026-03-02,1,2395
790,treatment,2026-03-09,0,1051
791,treatment,2026-03-12,0,2032
792,control,2026-03-06,1,1384
793,control,2026-03-15,1,1208
794,control,2026-03-11,1,1610
795,control,2026-03-14,1,1578
796,treatment,2026-03-10,0,1500
797,control,2026-03-15,0,827
798,control,2026-03-02,0,1684
799,control,2026-03-15,0,1580
800,treatment,2026-03-07,1,1518
801,control,2026-03-08,0,746
802,control,2026-03-08,0,1455
803,treatment,2026-03-10,0,700
804,control,2026-03-07,1,1145
805,treatment,2026-03-10,0,1047
806,treatment,2026-03-03,1,1058
807,treatment,2026-03-08,0,586
808,control,2026-03-14,1,1134
809,control,2026-03-09,0,1769
810,control,2026-03-09,0,1754
811,control,2026-03-12,1,598
812,control,2026-03-10,1,1075
813,treatment,2026-03-03,0,1230
814,control,2026-03-03,0,1274
815,treatment,2026-03-10,0,2085
816,treatment,2026-03-10,1,1533
817,control,2026-03-05,0,1536
818,treatment,2026-03-14,0,1011
819,control,2026-03-05,0,839
820,control,2026-03-06,1,2067
821,control,2026-03-09,0,1284
822,control,2026-03-03,1,1039
823,control,2026-03-09,0,1059
824,control,2026-03-07,1,1451
825,treatment,2026-03-11,1,1415
826,control,2026-03-11,0,1075
827,control,2026-03-02,0,1101
828,treatment,2026-03-09,1,1017
829,control,2026-03-05,0,1212
830,control,2026-03-02,1,913
831,treatment,2026-03-07,0,1498
