user_id,variant,assignment_date,converted,order_value
82,control,2026-03-06,1,44.02
83,control,2026-03-13,0,
84,treatment,2026-03-10,1,21.44
85,treatment,2026-03-12,0,
86,treatment,2026-03-07,0,
87,treatment,2026-03-01,0,
88,treatment,2026-03-10,0,
89,control,2026-03-06,0,
90,control,2026-03-08,0,
91,control,2026-03-06,1,42.12
92,treatment,2026-03-13,0,
93,control,2026-03-05,0,
94,treatment,2026-03-05,0,
95,treatment,2026-03-07,0,
96,treatment,2026-03-08,0,
97,treatment,2026-03-04,0,
98,treatment,2026-03-10,1,54.34
99,treatment,2026-03-03,0,
100,treatment,2026-03-14,0,
101,treatment,2026-03-01,0,
102,control,2026-03-13,0,
103,treatment,2026-03-08,0,
104,treatment,2026-03-08,0,
105,control,2026-03-14,0,
106,control,2026-03-08,0,
107,treatment,2026-03-07,1,38.95
108,treatment,2026-03-02,0,
109,treatment,2026-03-02,1,50.39
110,control,2026-03-07,0,
111,treatment,2026-03-10,0,
112,treatment,2026-03-12,1,66.58
113,treatment,2026-03-09,0,
114,control,2026-03-10,0,
115,treatment,2026-03-07,0,
116,treatment,2026-03-04,0,
117,treatment,2026-03-04,0,
118,treatment,2026-03-05,0,
119,treatment,2026-03-05,0,
120,treatment,2026-03-02,0,
121,treatment,2026-03-03,0,
122,treatment,2026-03-06,0,
123,treatment,2026-03-04,0,
124,control,2026-03-03,0,
125,control,2026-03-01,1,56.45
126,control,2026-03-09,0,
127,control,2026-03-07,0,
128,treatment,2026-03-01,1,26.4
129,control,2026-03-04,0,
130,control,2026-03-01,0,
131,control,2026-03-12,0,
132,treatment,2026-03-04,0,
133,control,2026-03-08,0,
134,treatment,2026-03-07,0,
135,treatment,2026-03-12,0,
136,treatment,2026-03-11,0,
137,treatment,2026-03-06,0,
138,control,2026-03-02,0,
139,treatment,2026-03-14,0,
140,control,2026-03-04,0,
141,control,2026-03-06,0,
142,treatment,2026-03-13,0,
143,control,2026-03-14,0,
144,treatment,2026-03-11,0,
145,treatment,2026-03-13,0,
146,control,2026-03-07,0,
147,control,2026-03-14,0,
148,treatment,2026-03-07,0,
149,control,2026-03-13,0,
150,control,2026-03-13,0,
151,control,2026-03-13,0,
152,control,2026-03-14,0,
153,treatment,2026-03-14,0,
154,control,2026-03-07,0,
155,control,2026-03-06,0,
156,treatment,2026-03-01,0,
157,treatment,2026-03-14,0,
158,control,2026-03-10,1,53.06
159,control,2026-03-03,1,10.52
160,treatment,2026-03-07,0,
161,treatment,2026-03-09,1,25.78
162,treatment,2026-03-04,1,38.66
163,control,2026-03-01,1,28.27
164,control,2026-03-05,0,
165,control,2026-03-02,0,
166,control,2026-03-07,0,
167,treatment,2026-03-13,1,52.1
168,treatment,2026-03-02,0,
169,control,2026-03-06,1,30.97
170,control,2026-03-06,1,72.98
171,control,2026-03-12,0,
172,treatment,2026-03-07,0,
173,control,2026-03-06,0,
174,control,2026-03-04,0,
175,treatment,2026-03-08,0,
176,control,2026-03-06,0,
177,control,2026-03-05,0,
178,treatment,2026-03-07,1,19.96
179,control,2026-03-14,0,
180,control,2026-03-08,0,
181,treatment,2026-03-08,0,
182,treatment,2026-03-14,0,
183,treatment,2026-03-14,1,44.39
184,treatment,2026-03-13,0,
185,control,2026-03-04,0,
186,treatment,2026-03-11,0,
187,treatment,2026-03-12,0,
188,control,2026-03-07,0,
189,treatment,2026-03-07,0,
190,treatment,2026-03-04,0,
191,control,2026-03-11,0,
192,control,2026-03-10,0,
193,treatment,2026-03-03,0,
194,treatment,2026-03-11,1,47.13
195,treatment,2026-03-14,0,
196,control,2026-03-09,0,
197,treatment,2026-03-05,0,
198,treatment,2026-03-07,0,
199,treatment,2026-03-09,0,
200,control,2026-03-08,0,
201,control,2026-03-11,0,
202,control,2026-03-08,0,
203,control,2026-03-03,0,
204,control,2026-03-10,0,
205,treatment,2026-03-14,0,
206,control,2026-03-12,0,
207,treatment,2026-03-11,0,
208,control,2026-03-11,0,
209,control,2026-03-05,0,
210,treatment,2026-03-01,0,
211,treatment,2026-03-13,0,
212,treatment,2026-03-09,0,
213,treatment,2026-03-07,0,
214,control,2026-03-03,0,
215,treatment,2026-03-03,1,31.21
216,control,2026-03-04,0,
217,treatment,2026-03-12,1,29.82
218,treatment,2026-03-11,0,
219,treatment,2026-03-05,0,
220,control,2026-03-09,0,
221,control,2026-03-05,1,100.49
222,control,2026-03-06,0,
223,control,2026-03-07,1,43.8
224,control,2026-03-06,0,
225,treatment,2026-03-06,1,19.76
226,treatment,2026-03-06,1,45.48
227,treatment,2026-03-09,1,28.17
228,control,2026-03-08,0,
229,treatment,2026-03-13,0,
230,treatment,2026-03-05,0,
231,control,2026-03-08,0,
232,treatment,2026-03-09,0,
233,control,2026-03-05,0,
234,treatment,2026-03-06,0,
235,treatment,2026-03-13,0,
236,treatment,2026-03-01,0,
237,control,2026-03-01,0,
238,treatment,2026-03-06,0,
239,control,2026-03-07,0,
240,treatment,2026-03-02,0,
241,treatment,2026-03-01,0,
242,treatment,2026-03-07,1,33.88
243,control,2026-03-01,0,
244,treatment,2026-03-01,0,
245,control,2026-03-04,0,
246,treatment,2026-03-03,0,
247,treatment,2026-03-01,0,
248,control,2026-03-12,0,
249,treatment,2026-03-04,0,
250,control,2026-03-10,0,
251,control,2026-03-14,0,
252,control,2026-03-05,0,
253,treatment,2026-03-02,0,
254,control,2026-03-14,0,
255,control,2026-03-04,0,
256,treatment,2026-03-05,0,
257,control,2026-03-06,0,
258,control,2026-03-09,0,
259,treatment,2026-03-11,0,
260,control,2026-03-10,1,20.97
261,treatment,2026-03-04,0,
262,treatment,2026-03-01,0,
263,treatment,2026-03-11,1,55.28
264,treatment,2026-03-12,0,
265,treatment,2026-03-11,0,
266,treatment,2026-03-10,0,
267,treatment,2026-03-14,0,
268,treatment,2026-03-10,0,
269,control,2026-03-07,0,
270,treatment,2026-03-04,0,
271,control,2026-03-11,0,
272,control,2026-03-12,0,
273,control,2026-03-03,0,
274,treatment,2026-03-05,0,
275,control,2026-03-06,0,
276,treatment,2026-03-10,1,42.92
277,treatment,2026-03-05,1,55.1
278,control,2026-03-03,0,
279,treatment,2026-03-06,0,
280,treatment,2026-03-12,0,
281,control,2026-03-06,0,
282,control,2026-03-06,0,
283,control,2026-03-08,1,51.89
284,treatment,2026-03-09,0,
285,treatment,2026-03-04,1,61.73
286,treatment,2026-03-14,0,
287,control,2026-03-10,0,
288,control,2026-03-10,0,
289,control,2026-03-05,0,
290,treatment,2026-03-14,0,
291,treatment,2026-03-09,0,
292,control,2026-03-04,0,
293,control,2026-03-03,0,
294,control,2026-03-03,0,
295,control,2026-03-12,0,
296,treatment,2026-03-06,0,
297,control,2026-03-10,0,
298,treatment,2026-03-13,0,
299,treatment,2026-03-14,1,65.81
300,control,2026-03-03,0,
301,control,2026-03-11,0,
302,treatment,2026-03-11,0,
303,control,2026-03-06,0,
304,control,2026-03-10,0,
305,treatment,2026-03-10,0,
306,treatment,2026-03-11,0,
307,control,2026-03-14,0,
308,control,2026-03-10,1,75.41
309,treatment,2026-03-01,0,
310,control,2026-03-08,0,
311,control,2026-03-11,0,
312,control,2026-03-01,1,39.23
313,control,2026-03-05,0,
314,control,2026-03-08,0,
315,treatment,2026-03-01,0,
316,control,2026-03-02,0,
317,control,2026-03-13,1,23.17
318,control,2026-03-14,0,
319,control,2026-03-02,0,
320,control,2026-03-10,1,46.01
321,treatment,2026-03-05,0,
322,treatment,2026-03-12,0,
323,treatment,2026-03-11,0,
324,treatment,2026-03-05,0,
325,control,2026-03-08,0,
326,control,2026-03-12,1,87.0
327,treatment,2026-03-09,0,
328,treatment,2026-03-01,1,43.92
329,control,2026-03-03,1,58.85
330,treatment,2026-03-11,0,
331,treatment,2026-03-10,0,
332,control,2026-03-03,0,
333,control,2026-03-07,0,
334,control,2026-03-06,0,
335,treatment,2026-03-04,0,
336,treatment,2026-03-14,0,
337,treatment,2026-03-10,0,
338,treatment,2026-03-08,0,
339,control,2026-03-09,0,
340,control,2026-03-06,0,
341,treatment,2026-03-02,0,
342,treatment,2026-03-03,0,
343,control,2026-03-02,0,
344,treatment,2026-03-04,0,
345,treatment,2026-03-06,0,
346,treatment,2026-03-13,0,
347,treatment,2026-03-01,0,
348,control,2026-03-11,1,43.81
349,treatment,2026-03-01,0,
350,treatment,2026-03-01,1,23.04
351,treatment,2026-03-08,0,
352,treatment,2026-03-13,0,
353,treatment,2026-03-07,0,
354,control,2026-03-13,1,46.77
355,control,2026-03-11,0,
356,control,2026-03-05,1,28.36
357,control,2026-03-03,0,
358,treatment,2026-03-05,0,
359,control,2026-03-02,0,
360,control,2026-03-08,0,
361,control,2026-03-08,0,
362,control,2026-03-10,1,64.33
363,treatment,2026-03-10,0,
364,treatment,2026-03-03,0,
365,treatment,2026-03-10,1,48.72
366,treatment,2026-03-14,0,
367,treatment,2026-03-11,0,
368,control,2026-03-08,0,
369,control,2026-03-09,0,
370,treatment,2026-03-14,0,
371,treatment,2026-03-04,1,28.84
372,control,2026-03-13,0,
373,control,2026-03-08,1,37.97
374,control,2026-03-06,1,36.84
375,control,2026-03-12,0,
376,treatment,2026-03-02,0,
377,treatment,2026-03-14,1,45.02
378,control,2026-03-03,0,
379,treatment,2026-03-01,0,
380,control,2026-03-09,0,
381,control,2026-03-09,0,
382,treatment,2026-03-12,1,20.53
383,treatment,2026-03-10,0,
384,treatment,2026-03-08,0,
385,treatment,2026-03-12,0,
386,control,2026-03-11,0,
387,treatment,2026-03-14,0,
388,control,2026-03-06,0,
389,control,2026-03-03,0,
390,treatment,2026-03-03,0,
391,treatment,2026-03-08,0,
392,control,2026-03-10,1,30.61
393,control,2026-03-07,0,
394,control,2026-03-06,0,
395,control,2026-03-06,0,
396,treatment,2026-03-10,0,
397,treatment,2026-03-01,0,
398,control,2026-03-03,0,
399,treatment,2026-03-09,0,
400,control,2026-03-09,0,
401,treatment,2026-03-02,0,
402,treatment,2026-03-14,0,
403,treatment,2026-03-07,0,
404,control,2026-03-14,0,
405,treatment,2026-03-02,0,
406,treatment,2026-03-09,0,
407,control,2026-03-03,0,
408,control,2026-03-12,0,
409,treatment,2026-03-05,0,
410,treatment,2026-03-05,0,
411,treatment,2026-03-11,0,
412,control,2026-03-08,0,
413,control,2026-03-12,1,65.44
414,treatment,2026-03-05,0,
415,treatment,2026-03-09,0,
416,treatment,2026-03-09,0,
417,treatment,2026-03-13,0,
418,control,2026-03-06,0,
419,control,2026-03-14,0,
420,treatment,2026-03-05,0,
421,control,2026-03-10,0,
422,treatment,2026-03-14,0,
423,control,2026-03-06,0,
424,control,2026-03-05,0,
425,treatment,2026-03-02,0,
426,control,2026-03-09,0,
427,treatment,2026-03-12,0,
428,treatment,2026-03-14,1,69.51
429,treatment,2026-03-10,1,53.78
430,treatment,2026-03-10,1,27.91
431,control,2026-03-13,0,
432,control,2026-03-06,0,
433,treatment,2026-03-03,0,
434,control,2026-03-11,0,
435,control,2026-03-14,0,
436,treatment,2026-03-06,1,31.18
437,control,2026-03-12,0,
438,control,2026-03-04,1,43.76
439,control,2026-03-01,0,
440,control,2026-03-05,1,19.99
441,treatment,2026-03-02,0,
442,treatment,2026-03-02,0,
443,treatment,2026-03-05,0,
444,control,2026-03-14,1,21.44
445,treatment,2026-03-08,1,35.15
446,treatment,2026-03-02,0,
447,control,2026-03-14,0,
448,treatment,2026-03-04,0,
449,treatment,2026-03-03,0,
450,control,2026-03-07,0,
451,treatment,2026-03-04,0,
452,treatment,2026-03-11,0,
453,treatment,2026-03-05,0,
454,treatment,2026-03-08,0,
455,treatment,2026-03-02,0,
456,control,2026-03-02,0,
457,control,2026-03-07,0,
458,control,2026-03-10,0,
459,treatment,2026-03-03,0,
460,treatment,2026-03-11,0,
461,treatment,2026-03-09,1,52.14
462,control,2026-03-10,1,33.05
463,control,2026-03-04,1,30.34
464,treatment,2026-03-05,0,
465,control,2026-03-01,0,
466,control,2026-03-02,0,
467,control,2026-03-06,0,
468,treatment,2026-03-12,0,
469,treatment,2026-03-04,0,
470,control,2026-03-11,0,
471,control,2026-03-02,0,
472,treatment,2026-03-13,1,48.01
473,control,2026-03-03,0,
474,control,2026-03-04,0,
475,treatment,2026-03-14,1,55.6
476,control,2026-03-01,0,
477,control,2026-03-11,1,40.97
478,control,2026-03-01,1,40.5
479,control,2026-03-10,1,50.23
480,treatment,2026-03-05,0,
481,control,2026-03-07,0,
482,treatment,2026-03-11,0,
483,treatment,2026-03-01,0,
484,control,2026-03-01,0,
485,treatment,2026-03-14,0,
486,treatment,2026-03-03,0,
487,treatment,2026-03-11,0,
488,control,2026-03-02,1,48.4
489,control,2026-03-08,0,
490,control,2026-03-07,1,28.18
491,treatment,2026-03-09,0,
492,control,2026-03-01,0,
493,treatment,2026-03-06,1,45.47
494,control,2026-03-01,1,52.04
495,treatment,2026-03-14,0,
496,treatment,2026-03-14,0,
497,control,2026-03-05,0,
498,control,2026-03-07,0,
499,control,2026-03-07,0,
500,control,2026-03-07,0,
501,control,2026-03-12,0,
502,treatment,2026-03-05,0,
503,control,2026-03-10,0,
504,control,2026-03-11,0,
505,control,2026-03-07,0,
506,control,2026-03-13,0,
507,control,2026-03-01,0,
508,control,2026-03-14,0,
509,control,2026-03-05,0,
510,treatment,2026-03-13,0,
511,control,2026-03-07,0,
512,treatment,2026-03-14,0,
513,treatment,2026-03-11,0,
514,treatment,2026-03-11,0,
515,control,2026-03-07,0,
516,treatment,2026-03-13,0,
517,treatment,2026-03-12,0,
518,control,2026-03-14,0,
519,treatment,2026-03-09,0,
520,treatment,2026-03-09,1,41.49
521,control,2026-03-06,0,
522,treatment,2026-03-07,0,
523,control,2026-03-03,0,
524,control,2026-03-14,0,
525,control,2026-03-13,0,
526,treatment,2026-03-14,1,57.54
527,treatment,2026-03-13,0,
528,treatment,2026-03-05,0,
529,control,2026-03-03,0,
530,control,2026-03-13,0,
531,control,2026-03-14,0,
532,treatment,2026-03-03,0,
533,control,2026-03-09,0,
534,treatment,2026-03-12,0,
535,treatment,2026-03-04,1,50.56
536,control,2026-03-06,0,
537,control,2026-03-12,0,
538,control,2026-03-09,0,
539,treatment,2026-03-08,1,52.27
540,treatment,2026-03-06,0,
541,treatment,2026-03-12,0,
542,control,2026-03-01,0,
543,control,2026-03-13,0,
544,control,2026-03-05,0,
545,treatment,2026-03-02,0,
546,control,2026-03-12,0,
547,control,2026-03-11,0,
548,control,2026-03-04,0,
549,control,2026-03-13,1,43.59
550,control,2026-03-09,0,
551,treatment,2026-03-10,1,35.52
552,control,2026-03-02,0,
553,treatment,2026-03-08,0,
554,treatment,2026-03-09,0,
555,control,2026-03-08,0,
556,control,2026-03-11,0,
557,treatment,2026-03-14,0,
558,control,2026-03-03,1,39.71
559,treatment,2026-03-07,0,
560,control,2026-03-07,0,
561,control,2026-03-14,0,
562,control,2026-03-11,0,
563,control,2026-03-14,0,
564,control,2026-03-02,0,
565,treatment,2026-03-08,0,
566,treatment,2026-03-09,0,
567,treatment,2026-03-08,0,
568,treatment,2026-03-09,0,
569,treatment,2026-03-09,0,
570,control,2026-03-06,0,
571,treatment,2026-03-08,0,
572,treatment,2026-03-12,0,
573,treatment,2026-03-12,0,
574,control,2026-03-04,0,
575,treatment,2026-03-06,1,26.34
576,treatment,2026-03-14,0,
577,treatment,2026-03-01,0,
578,treatment,2026-03-13,1,75.28
579,control,2026-03-11,0,
580,control,2026-03-12,0,
581,control,2026-03-09,0,
582,control,2026-03-10,1,60.19
583,treatment,2026-03-02,0,
584,control,2026-03-12,0,
585,control,2026-03-06,0,
586,treatment,2026-03-12,0,
587,treatment,2026-03-13,0,
588,control,2026-03-12,0,
589,control,2026-03-02,0,
590,treatment,2026-03-04,0,
591,control,2026-03-13,0,
592,control,2026-03-08,0,
593,treatment,2026-03-05,0,
594,treatment,2026-03-02,1,52.51
595,treatment,2026-03-13,0,
596,treatment,2026-03-08,0,
597,control,2026-03-10,0,
598,control,2026-03-02,0,
599,treatment,2026-03-06,0,
600,control,2026-03-12,0,
601,treatment,2026-03-04,1,35.42
602,treatment,2026-03-01,1,41.69
603,control,2026-03-12,0,
604,treatment,2026-03-08,0,
605,treatment,2026-03-10,0,
606,treatment,2026-03-04,0,
607,treatment,2026-03-09,0,
608,treatment,2026-03-07,0,
609,control,2026-03-08,0,
610,treatment,2026-03-13,1,41.35
611,control,2026-03-05,0,
612,treatment,2026-03-12,0,
613,treatment,2026-03-05,0,
614,treatment,2026-03-13,0,
615,treatment,2026-03-08,0,
616,treatment,2026-03-01,1,29.46
617,treatment,2026-03-06,0,
618,treatment,2026-03-12,0,
619,treatment,2026-03-04,0,
620,control,2026-03-06,0,
621,control,2026-03-11,0,
622,treatment,2026-03-07,0,
623,control,2026-03-11,0,
624,control,2026-03-06,0,
625,control,2026-03-05,0,
626,treatment,2026-03-06,0,
627,control,2026-03-06,0,
628,treatment,2026-03-06,1,56.02
629,control,2026-03-08,0,
630,control,2026-03-10,0,
631,control,2026-03-09,0,
632,control,2026-03-03,0,
633,treatment,2026-03-04,0,
634,treatment,2026-03-03,0,
635,treatment,2026-03-05,0,
636,treatment,2026-03-06,0,
637,control,2026-03-04,0,
638,treatment,2026-03-06,1,37.39
639,control,2026-03-06,0,
640,control,2026-03-08,0,
641,control,2026-03-09,0,
642,treatment,2026-03-01,0,
643,control,2026-03-12,0,
644,treatment,2026-03-14,0,
645,treatment,2026-03-14,0,
646,control,2026-03-07,0,
647,treatment,2026-03-05,0,
648,treatment,2026-03-07,0,
649,control,2026-03-12,0,
650,control,2026-03-13,1,45.35
651,treatment,2026-03-03,0,
652,control,2026-03-10,0,
653,treatment,2026-03-07,0,
654,control,2026-03-12,0,
655,control,2026-03-07,0,
656,treatment,2026-03-06,0,
657,treatment,2026-03-12,0,
658,control,2026-03-05,1,68.97
659,control,2026-03-14,0,
660,treatment,2026-03-13,0,
661,control,2026-03-02,0,
662,treatment,2026-03-05,0,
663,control,2026-03-14,1,37.53
664,control,2026-03-07,0,
665,control,2026-03-04,0,
666,control,2026-03-04,0,
667,treatment,2026-03-03,0,
668,treatment,2026-03-09,0,
669,treatment,2026-03-03,0,
670,treatment,2026-03-12,0,
671,control,2026-03-08,1,37.79
672,control,2026-03-08,1,36.9
673,control,2026-03-06,0,
674,treatment,2026-03-01,0,
675,treatment,2026-03-09,0,
676,control,2026-03-10,0,
677,treatment,2026-03-12,1,36.41
678,treatment,2026-03-11,0,
679,treatment,2026-03-11,0,
680,control,2026-03-09,0,
681,control,2026-03-03,1,66.93
682,control,2026-03-10,0,
683,control,2026-03-02,0,
684,treatment,2026-03-04,0,
685,control,2026-03-10,0,
686,control,2026-03-05,0,
687,control,2026-03-05,1,37.0
688,treatment,2026-03-05,1,60.12
689,control,2026-03-12,0,
690,control,2026-03-10,0,
691,control,2026-03-07,0,
692,control,2026-03-10,0,
693,treatment,2026-03-05,1,43.58
694,control,2026-03-05,1,43.75
695,control,2026-03-12,0,
696,treatment,2026-03-02,0,
697,treatment,2026-03-09,0,
698,control,2026-03-09,0,
699,control,2026-03-10,0,
700,control,2026-03-13,0,
701,control,2026-03-07,0,
702,treatment,2026-03-08,0,
703,control,2026-03-03,0,
704,control,2026-03-07,0,
705,treatment,2026-03-11,0,
706,treatment,2026-03-08,0,
707,treatment,2026-03-03,1,24.51
708,treatment,2026-03-05,0,
709,control,2026-03-02,0,
710,control,2026-03-11,0,
711,control,2026-03-11,0,
712,control,2026-03-14,0,
713,control,2026-03-03,0,
714,control,2026-03-02,1,62.95
715,control,2026-03-07,0,
716,treatment,2026-03-09,0,
717,control,2026-03-06,0,
718,treatment,2026-03-12,0,
719,treatment,2026-03-02,0,
720,control,2026-03-01,1,29.73
721,control,2026-03-05,0,
722,treatment,2026-03-05,0,
723,control,2026-03-01,0,
724,control,2026-03-03,0,
725,treatment,2026-03-11,0,
726,treatment,2026-03-12,0,
727,treatment,2026-03-13,0,
728,treatment,2026-03-09,0,
729,treatment,2026-03-02,0,
730,control,2026-03-05,0,
731,control,2026-03-12,0,
732,control,2026-03-05,0,
733,control,2026-03-09,0,
734,control,2026-03-01,1,14.43
735,treatment,2026-03-05,0,
736,control,2026-03-13,0,
737,treatment,2026-03-05,0,
738,treatment,2026-03-11,0,
739,control,2026-03-12,1,40.93
740,treatment,2026-03-04,0,
741,treatment,2026-03-06,0,
742,control,2026-03-04,0,
743,treatment,2026-03-07,0,
744,control,2026-03-05,0,
745,treatment,2026-03-13,0,
746,control,2026-03-10,1,41.5
747,control,2026-03-10,0,
748,control,2026-03-04,1,29.52
749,control,2026-03-12,0,
750,control,2026-03-08,1,50.3
751,control,2026-03-10,0,
752,control,2026-03-08,0,
753,treatment,2026-03-01,0,
754,control,2026-03-12,0,
755,control,2026-03-10,0,
756,treatment,2026-03-10,1,28.93
757,control,2026-03-14,0,
758,control,2026-03-09,1,29.96
759,control,2026-03-03,0,
760,treatment,2026-03-08,1,64.68
761,treatment,2026-03-10,0,
762,treatment,2026-03-03,0,
763,treatment,2026-03-04,0,
764,control,2026-03-12,0,
765,control,2026-03-07,0,
766,control,2026-03-13,0,
767,control,2026-03-06,0,
768,control,2026-03-02,0,
769,treatment,2026-03-09,1,44.71
770,treatment,2026-03-14,0,
771,treatment,2026-03-14,0,
772,treatment,2026-03-02,0,
773,control,2026-03-13,0,
774,control,2026-03-07,0,
775,treatment,2026-03-08,0,
776,treatment,2026-03-13,1,66.4
777,treatment,2026-03-02,0,
778,treatment,2026-03-03,0,
779,control,2026-03-14,1,63.73
780,treatment,2026-03-03,0,
781,control,2026-03-07,0,
782,treatment,2026-03-14,0,
783,control,2026-03-08,0,
784,treatment,2026-03-03,1,103.16
785,control,2026-03-01,0,
786,control,2026-03-02,0,
787,treatment,2026-03-02,0,
788,control,2026-03-10,0,
789,control,2026-03-08,1,42.79
790,control,2026-03-11,0,
791,control,2026-03-07,1,48.9
792,treatment,2026-03-08,0,
793,control,2026-03-09,0,
794,treatment,2026-03-12,0,
795,treatment,2026-03-12,0,
796,treatment,2026-03-08,1,19.99
797,treatment,2026-03-04,1,36.64
798,treatment,2026-03-12,0,
799,treatment,2026-03-10,0,
800,control,2026-03-05,0,
801,treatment,2026-03-13,0,
802,treatment,2026-03-08,1,45.98
803,treatment,2026-03-13,0,
804,control,2026-03-06,0,
805,treatment,2026-03-02,0,
806,treatment,2026-03-03,0,
807,control,2026-03-05,0,
808,control,2026-03-02,0,
809,treatment,2026-03-01,0,
810,treatment,2026-03-04,0,
811,treatment,2026-03-08,0,
812,control,2026-03-12,0,
813,control,2026-03-04,0,
814,treatment,2026-03-02,0,
815,control,2026-03-04,0,
816,control,2026-03-10,0,
817,treatment,2026-03-12,0,
818,treatment,2026-03-12,0,
819,control,2026-03-01,1,63.35
820,control,2026-03-12,0,
821,control,2026-03-13,0,
822,control,2026-03-12,1,64.43
823,control,2026-03-13,0,
824,treatment,2026-03-07,0,
825,control,2026-03-02,0,
826,control,2026-03-06,0,
827,treatment,2026-03-06,0,
828,control,2026-03-02,0,
829,treatment,2026-03-08,1,35.75
830,treatment,2026-03-01,0,
831,treatment,2026-03-13,0,
832,treatment,2026-03-14,1,31.45
833,control,2026-03-04,0,
834,treatment,2026-03-05,0,
835,control,2026-03-03,0,
836,treatment,2026-03-02,0,
837,treatment,2026-03-07,0,
838,control,2026-03-11,0,
839,control,2026-03-08,0,
840,treatment,2026-03-07,1,14.24
841,treatment,2026-03-08,0,
842,treatment,2026-03-01,0,
843,control,2026-03-05,0,
844,control,2026-03-12,0,
845,control,2026-03-02,1,35.01
846,control,2026-03-08,0,
847,treatment,2026-03-01,0,
848,control,2026-03-08,0,
849,control,2026-03-14,0,
850,treatment,2026-03-02,0,
851,control,2026-03-05,1,42.86
852,treatment,2026-03-14,1,44.9
853,treatment,2026-03-02,0,
854,treatment,2026-03-08,1,35.73
855,treatment,2026-03-03,0,
856,control,2026-03-10,0,
857,treatment,2026-03-02,0,
858,control,2026-03-05,0,
859,control,2026-03-01,0,
860,treatment,2026-03-01,0,
861,control,2026-03-08,0,
862,control,2026-03-08,0,
863,treatment,2026-03-05,0,
864,control,2026-03-02,1,36.3
865,control,2026-03-12,0,
866,control,2026-03-08,0,
867,treatment,2026-03-14,1,38.16
868,control,2026-03-05,0,
869,treatment,2026-03-12,0,
870,control,2026-03-08,0,
871,control,2026-03-04,1,81.31
872,control,2026-03-07,0,
873,control,2026-03-09,0,
874,treatment,2026-03-03,0,
875,treatment,2026-03-02,0,
876,control,2026-03-01,0,
877,treatment,2026-03-14,1,86.28
878,treatment,2026-03-02,0,
879,control,2026-03-05,0,
880,treatment,2026-03-13,1,63.69
881,treatment,2026-03-12,0,
882,control,2026-03-01,0,
883,treatment,2026-03-02,0,
884,control,2026-03-08,0,
885,treatment,2026-03-05,0,
886,treatment,2026-03-11,0,
887,treatment,2026-03-04,1,35.52
888,control,2026-03-03,0,
889,control,2026-03-09,1,68.09
890,treatment,2026-03-08,0,
891,treatment,2026-03-04,0,
892,control,2026-03-05,0,
893,treatment,2026-03-12,0,
894,control,2026-03-14,0,
895,control,2026-03-01,1,73.19
896,control,2026-03-02,0,
897,treatment,2026-03-04,0,
898,treatment,2026-03-03,0,
899,treatment,2026-03-11,0,
900,treatment,2026-03-02,1,53.74
