user_id,tenure_months,adopted_feature,orders_90d
280,25,0,8
281,31,0,15
282,28,1,16
283,21,1,15
284,16,0,12
285,24,1,18
286,11,0,4
287,25,0,11
288,6,0,6
289,26,1,17
290,11,0,7
291,18,0,4
292,6,1,9
293,24,0,8
294,12,0,3
295,15,0,13
296,34,1,21
297,27,1,17
298,18,0,11
299,22,0,12
300,26,1,11
301,20,0,7
302,34,1,20
303,24,1,17
304,1,0,4
305,20,1,13
306,17,0,9
307,13,0,3
308,33,1,17
309,30,1,21
310,25,1,14
311,32,0,15
312,17,0,12
313,31,1,14
314,8,0,9
315,15,0,5
316,8,0,6
317,17,1,12
318,12,0,9
319,33,1,16
320,12,1,8
321,33,1,25
322,14,0,5
323,19,1,14
324,31,0,10
325,26,1,14
326,26,1,15
327,7,0,6
328,29,1,17
329,35,1,17
330,25,1,17
331,12,1,15
332,1,0,8
333,4,0,8
334,36,1,20
335,16,0,11
336,2,0,2
337,26,1,16
338,5,0,6
339,12,0,6
340,28,1,15
341,8,0,7
342,10,0,7
343,9,1,13
344,24,1,17
345,27,0,12
346,10,0,7
347,17,1,9
348,18,1,12
349,19,0,6
350,9,0,6
351,31,0,12
352,14,0,8
353,16,0,9
354,32,1,18
355,10,0,8
356,15,0,7
357,11,1,7
358,1,0,1
359,30,0,16
360,8,0,7
361,6,0,6
362,26,0,6
363,6,0,6
364,19,1,13
365,14,0,5
366,10,0,5
367,12,0,5
368,22,0,7
369,29,1,15
370,22,1,13
371,14,0,7
372,29,0,15
373,32,0,9
374,29,1,17
375,21,1,18
376,35,0,15
377,1,0,9
378,23,1,16
379,6,0,5
380,10,0,2
381,15,0,4
382,34,0,13
383,7,1,12
384,20,0,10
385,31,1,17
386,4,0,7
387,14,1,15
388,22,1,16
389,29,1,15
390,2,0,5
391,7,0,2
392,22,1,16
393,16,0,8
394,23,0,10
395,17,1,7
396,9,0,10
397,34,1,21
398,30,1,17
399,14,0,13
400,29,0,13
401,34,1,21
402,17,0,13
403,22,0,16
404,15,0,6
405,17,1,14
406,5,0,5
407,34,1,13
408,1,0,1
409,7,0,5
410,22,0,8
411,7,0,0
412,3,1,10
413,25,0,14
414,5,0,4
415,4,0,6
416,36,1,19
417,11,0,4
418,19,1,14
419,33,1,16
420,16,0,10
421,25,1,14
422,21,0,9
423,3,0,4
424,36,1,15
425,35,0,14
426,36,1,20
427,27,1,14
428,22,0,8
429,21,0,10
430,30,0,12
431,17,0,7
432,8,0,11
433,8,0,4
434,23,0,11
435,21,1,17
436,29,1,15
437,14,1,10
438,13,0,6
439,21,0,10
440,9,0,6
441,6,0,0
442,24,1,14
443,23,0,13
444,3,0,6
445,24,0,9
446,26,0,15
447,22,0,7
448,28,0,11
449,19,0,9
450,18,0,10
451,1,0,7
452,33,1,21
453,30,1,14
454,9,0,9
455,28,1,12
456,3,0,1
457,21,1,14
458,22,0,7
459,32,0,11
460,12,0,12
461,3,0,4
462,28,1,18
463,21,0,11
464,35,1,18
465,5,0,1
466,15,0,8
467,2,0,0
468,15,1,11
469,19,1,12
470,8,0,5
471,9,1,14
472,25,1,13
473,7,1,10
474,6,0,8
475,3,0,6
476,21,1,19
477,20,0,11
478,8,0,4
479,15,0,8
480,11,0,3
481,35,0,13
482,17,0,9
483,28,0,13
484,6,0,3
485,4,0,7
486,36,1,18
487,36,1,16
488,36,1,18
489,7,0,7
490,13,1,6
491,8,0,7
492,17,0,8
493,12,0,6
494,4,0,3
495,3,0,2
496,20,1,14
497,9,0,5
498,20,0,9
499,10,0,4
500,16,1,17
501,28,0,12
502,14,0,6
503,33,0,15
504,4,0,4
505,36,1,18
506,32,0,14
507,27,0,13
508,34,0,16
509,33,1,18
510,33,0,14
511,7,0,4
512,29,1,21
513,19,0,3
514,8,0,9
515,26,1,15
516,10,0,2
517,10,0,6
518,2,0,5
519,34,1,16
520,3,0,0
521,3,0,7
522,17,0,12
523,5,0,7
524,33,0,10
525,7,0,6
526,30,0,13
527,29,1,20
528,29,1,15
529,24,1,15
530,2,0,3
531,20,0,7
532,3,0,5
533,2,0,3
534,33,1,18
535,28,0,14
536,23,1,15
537,19,1,11
538,11,0,7
539,13,0,7
540,25,0,11
541,6,0,5
542,27,1,18
543,26,1,15
544,21,1,20
545,13,0,3
546,18,0,9
547,14,0,10
548,6,0,5
549,30,0,13
550,23,1,22
551,18,0,10
552,5,1,7
553,13,0,5
554,1,0,5
555,34,1,19
556,25,0,12
557,13,0,2
558,19,0,11
559,6,0,3
560,12,0,4
561,30,1,19
562,32,1,14
563,7,0,1
564,19,0,4
565,36,1,15
566,34,1,16
567,3,0,2
568,25,1,16
569,9,0,6
570,26,0,13
571,15,1,13
572,13,0,7
573,1,0,9
574,9,1,13
575,7,1,12
576,9,0,6
577,8,0,5
578,24,0,15
579,14,0,6
580,17,0,5
581,25,0,9
582,9,0,4
583,25,1,15
584,11,1,10
585,7,0,4
586,15,0,10
587,5,0,4
588,28,1,13
589,36,1,13
590,18,0,6
591,24,0,8
592,15,0,6
593,27,1,16
594,22,0,10
595,5,0,1
596,28,0,11
597,18,0,11
598,1,0,5
599,7,0,5
600,32,0,8
601,19,1,11
602,19,0,8
603,27,0,9
604,19,0,7
605,28,0,11
606,13,0,9
607,12,0,10
608,2,0,5
609,30,1,17
610,27,1,18
611,31,0,9
612,6,1,9
613,8,0,2
614,5,0,3
615,15,0,7
616,7,1,8
617,33,1,17
618,29,0,12
619,36,1,17
620,1,0,0
621,31,1,16
622,26,0,6
623,13,0,8
624,12,0,8
625,25,0,9
626,27,1,17
627,35,1,17
628,31,0,15
629,10,0,6
630,23,0,14
631,22,0,8
632,7,0,7
633,2,0,3
634,12,0,7
635,16,0,9
636,36,1,23
637,22,0,11
638,36,0,11
639,10,0,7
640,9,0,5
641,25,1,13
642,25,1,16
643,4,0,1
644,21,0,10
645,30,1,18
646,22,1,13
647,9,0,4
648,32,1,17
649,5,0,2
650,20,1,11
651,1,0,4
652,31,1,13
653,13,0,5
654,35,1,14
655,22,1,19
656,28,1,14
657,29,0,13
658,26,0,8
659,19,0,2
660,20,0,9
661,3,0,6
662,23,1,17
663,14,0,7
664,21,0,10
665,18,0,7
666,21,1,15
667,5,0,3
668,25,0,9
669,28,1,16
670,21,0,16
671,24,0,12
672,18,1,10
673,23,0,14
674,33,0,9
675,14,0,13
676,30,0,15
677,30,0,8
678,31,1,17
679,1,0,4
680,18,0,10
681,32,1,21
682,29,1,19
683,24,1,17
684,12,0,12
685,12,0,4
686,18,0,12
687,19,0,7
688,8,1,9
689,3,1,13
690,35,1,18
691,36,1,23
692,18,0,7
693,29,1,16
694,9,1,18
695,33,0,16
696,1,0,1
697,14,0,6
698,31,0,11
699,12,0,13
700,3,0,2
701,21,1,16
702,30,1,16
703,13,1,10
704,11,1,13
705,20,0,9
706,31,0,13
707,16,0,8
708,1,0,4
709,34,0,8
710,22,0,3
711,36,1,18
712,33,1,21
713,35,1,19
714,29,1,16
715,27,0,13
716,32,1,16
717,22,1,12
718,36,1,20
719,20,1,15
720,4,0,4
721,14,0,5
722,36,0,18
723,10,0,5
724,17,1,11
725,14,1,11
726,14,0,9
727,16,0,3
728,27,1,14
729,1,0,3
730,22,0,10
731,8,0,5
732,8,0,5
733,16,1,16
734,26,1,17
735,18,0,5
736,2,0,5
737,27,0,12
738,34,0,11
739,32,1,18
740,16,0,5
741,27,1,17
742,9,0,8
743,15,0,8
744,23,1,16
745,36,0,11
746,26,0,10
747,35,1,22
748,13,0,8
749,34,1,20
750,20,0,8
751,5,0,5
752,24,1,17
753,34,0,15
754,14,0,8
755,17,1,19
756,11,0,7
757,12,0,8
758,16,0,6
759,17,0,10
760,26,0,8
761,12,1,10
762,2,0,4
763,5,0,3
764,16,0,6
765,28,0,8
766,35,1,21
767,6,0,8
768,19,1,12
769,36,0,16
770,1,1,12
771,35,0,13
772,13,0,7
773,8,1,11
774,18,0,8
775,2,0,4
776,6,0,1
777,29,1,14
778,21,0,8
779,16,0,8
780,26,1,13
781,30,1,16
782,5,0,5
783,36,0,17
784,2,0,1
785,28,1,17
786,19,0,5
787,13,0,6
788,13,0,7
789,9,0,8
790,18,0,14
791,1,0,1
792,36,1,17
793,19,1,16
794,34,1,24
795,8,0,9
796,18,0,3
797,3,0,3
798,19,1,19
799,22,0,11
800,4,1,6
801,21,0,13
802,24,0,7
803,31,1,19
804,5,0,7
805,20,0,9
806,29,0,8
807,32,1,21
808,22,1,14
809,5,0,6
810,28,1,15
811,12,1,13
812,34,1,17
813,7,0,4
814,31,1,18
815,14,1,12
816,29,0,11
817,16,0,7
818,6,0,1
819,9,0,7
820,19,0,4
821,36,1,18
822,34,1,19
823,15,0,10
824,26,0,15
825,19,0,2
826,33,0,9
827,3,0,4
828,12,0,8
829,27,1,19
830,28,0,12
831,30,1,16
832,18,0,8
833,11,1,15
834,30,1,16
835,16,0,12
836,1,0,1
837,12,0,9
838,17,0,4
839,1,0,4
840,30,0,10
841,33,1,18
842,6,0,3
843,1,1,7
844,17,1,15
845,24,0,6
846,30,1,18
847,16,0,6
848,3,0,5
849,14,0,5
850,10,0,9
851,8,0,6
852,16,0,9
853,28,1,16
854,23,1,15
855,18,0,13
856,17,0,11
857,15,1,10
858,36,1,22
859,1,0,4
860,16,0,5
861,13,0,5
862,11,0,7
863,4,0,3
864,19,0,10
865,9,0,4
866,8,0,5
867,3,0,6
868,2,0,2
869,28,0,12
870,22,1,13
871,7,0,6
872,7,0,3
873,21,1,12
874,13,1,11
875,31,1,14
876,27,1,16
877,16,0,8
878,18,1,13
879,14,0,15
880,10,0,7
881,30,0,11
882,14,0,8
883,12,1,17
884,23,1,15
885,4,0,5
886,5,0,4
887,31,0,8
888,2,0,1
889,21,0,9
890,21,1,13
891,13,0,7
892,8,0,3
893,34,1,17
894,17,1,17
895,31,0,8
896,2,0,3
897,31,1,21
898,25,0,14
899,6,0,3
900,26,0,10
901,20,1,14
902,23,1,17
903,19,1,10
904,29,1,19
905,23,1,12
906,7,0,3
907,22,0,13
908,35,1,17
909,30,0,17
910,11,1,9
911,35,1,16
912,5,0,5
913,25,0,7
914,21,1,15
915,10,0,5
916,14,0,4
917,24,1,16
918,15,1,13
919,16,0,15
920,10,0,5
921,1,0,4
922,14,0,12
923,25,0,9
924,25,1,16
925,36,0,17
926,29,1,17
927,14,0,6
928,14,1,9
929,11,1,15
930,4,0,8
931,33,1,17
932,12,0,5
933,32,1,15
934,35,1,18
935,20,0,10
936,7,0,3
937,4,0,7
938,12,0,10
939,4,0,2
940,27,0,15
941,22,0,12
942,3,0,5
943,36,1,17
944,28,0,14
945,31,0,11
946,4,0,5
947,21,0,9
948,17,1,17
949,31,0,11
950,12,0,10
951,11,0,10
952,2,0,4
953,11,0,4
954,10,0,4
955,10,1,12
956,33,1,19
957,22,0,13
958,6,0,4
959,8,0,1
960,22,0,14
961,28,0,13
962,24,0,6
963,2,0,0
964,8,1,13
965,11,0,5
966,12,0,5
967,4,1,8
968,4,1,10
969,26,1,17
970,30,0,16
971,12,0,5
972,3,0,0
973,7,0,3
974,28,1,19
975,15,0,9
976,29,0,14
977,32,1,18
978,2,0,7
979,13,0,8
980,6,0,4
981,31,1,16
982,20,0,8
983,2,0,2
984,32,1,16
985,1,0,4
986,5,0,0
987,36,1,17
988,35,1,18
989,6,0,4
990,16,1,14
991,17,0,7
992,27,1,16
993,5,0,3
994,20,0,3
995,24,0,12
996,21,0,13
997,34,1,16
998,3,0,7
999,32,1,17
1000,9,0,3
1001,1,0,2
1002,15,0,6
1003,5,0,8
1004,31,1,18
1005,22,0,11
1006,18,0,10
1007,34,1,20
1008,16,0,10
1009,24,0,8
1010,31,1,13
1011,12,0,8
1012,23,1,17
1013,27,1,16
1014,31,0,15
1015,13,0,6
1016,7,0,6
1017,25,1,15
1018,16,1,14
1019,9,1,12
1020,9,0,9
1021,20,0,12
1022,25,1,11
1023,1,0,4
1024,29,1,20
1025,9,0,6
1026,25,0,11
1027,20,0,6
1028,16,0,2
1029,32,0,14
1030,2,0,2
1031,3,0,0
1032,3,0,4
1033,14,0,7
1034,23,0,9
1035,2,0,4
1036,29,1,18
1037,31,1,19
1038,33,1,18
1039,35,1,20
1040,34,1,12
1041,9,0,8
1042,26,1,16
1043,17,1,11
1044,22,0,8
1045,18,0,9
1046,27,0,12
1047,36,1,19
1048,12,0,10
1049,32,1,15
1050,3,0,0
1051,32,0,11
1052,24,0,9
1053,28,1,14
1054,31,1,18
1055,30,1,13
1056,23,0,10
1057,7,0,7
1058,30,1,15
1059,32,1,16
1060,28,1,19
1061,35,1,17
1062,11,0,11
1063,25,0,14
1064,15,0,9
1065,31,0,11
1066,28,1,16
1067,34,0,12
1068,17,1,17
1069,1,0,1
1070,17,0,5
1071,20,0,12
1072,7,0,6
1073,15,0,5
1074,28,1,18
1075,21,0,10
1076,16,0,10
1077,14,1,11
1078,5,0,5
1079,20,0,8
1080,4,0,3
1081,30,1,16
1082,6,0,8
1083,21,0,14
1084,16,0,10
1085,33,1,19
1086,34,1,20
1087,26,1,18
1088,30,0,11
1089,19,0,8
1090,32,0,16
1091,18,0,8
1092,6,0,5
1093,28,0,8
1094,23,0,14
1095,11,0,7
1096,16,1,8
1097,5,0,9
1098,7,0,7
1099,15,0,8
1100,16,1,11
1101,7,0,6
1102,10,0,1
1103,34,1,15
1104,18,0,10
1105,29,1,19
1106,25,1,15
1107,11,0,5
1108,17,1,15
1109,29,0,14
1110,14,0,8
1111,12,0,6
1112,10,0,7
1113,10,0,6
1114,34,1,17
1115,30,0,12
1116,23,1,21
1117,21,0,12
1118,34,1,17
1119,18,1,13
1120,24,0,8
1121,27,1,18
1122,20,0,11
1123,2,0,4
1124,29,1,15
1125,25,0,14
1126,14,0,6
1127,5,0,6
1128,16,0,7
1129,23,1,13
1130,2,0,7
1131,22,1,14
1132,2,0,9
1133,17,0,10
1134,4,0,6
1135,2,0,0
1136,1,0,0
1137,27,1,14
1138,8,1,9
1139,22,0,5
1140,17,1,8
1141,24,0,8
1142,28,1,16
1143,10,0,7
1144,10,0,9
1145,26,1,13
1146,5,1,8
1147,8,1,14
1148,12,1,14
1149,13,0,6
1150,18,0,9
1151,23,0,12
1152,6,0,2
1153,16,0,8
1154,2,0,5
1155,28,0,10
1156,16,0,14
1157,18,1,15
1158,17,0,5
1159,7,0,8
1160,26,0,9
1161,28,1,17
1162,25,1,14
1163,28,1,14
1164,36,1,19
1165,29,0,15
1166,28,1,19
1167,22,1,17
1168,6,0,9
1169,16,0,9
1170,34,0,14
1171,10,0,2
1172,26,0,9
1173,2,0,7
1174,29,1,16
1175,12,0,8
1176,25,0,12
1177,15,0,8
1178,5,0,5
1179,32,1,15
1180,3,0,1
1181,7,0,4
1182,21,0,9
1183,21,1,12
1184,5,0,4
1185,16,0,5
1186,13,1,9
1187,18,0,7
1188,32,1,15
1189,5,0,7
1190,2,1,6
1191,25,0,11
1192,21,1,13
1193,19,1,13
1194,6,0,4
1195,20,1,16
1196,4,0,4
1197,26,1,18
1198,28,1,14
1199,24,1,19
1200,23,1,20
1201,34,0,14
1202,28,0,13
1203,3,0,2
1204,26,1,12
1205,36,0,13
1206,32,1,15
1207,6,0,8
1208,36,1,19
1209,36,1,21
1210,12,0,12
1211,31,1,15
1212,20,1,10
1213,30,1,19
1214,32,1,18
1215,28,1,18
1216,5,0,0
1217,3,0,6
1218,16,1,11
1219,1,0,4
1220,28,1,15
1221,28,0,14
1222,19,0,8
1223,22,1,18
1224,6,0,1
1225,12,0,7
1226,2,0,3
1227,32,1,13
1228,7,0,9
1229,5,0,5
1230,22,0,9
1231,12,0,5
1232,26,1,15
1233,23,0,10
1234,4,0,3
1235,31,1,13
1236,36,1,12
1237,10,0,4
1238,20,1,14
1239,31,0,11
1240,18,0,5
1241,21,1,17
1242,25,1,17
1243,10,0,5
1244,23,0,10
1245,34,1,17
1246,27,0,8
1247,13,0,7
1248,5,0,4
1249,7,0,0
1250,28,0,9
1251,31,1,19
1252,31,1,16
1253,20,0,8
1254,36,1,17
1255,3,0,2
1256,10,0,5
1257,18,0,9
1258,4,0,1
1259,9,0,7
1260,22,1,13
1261,17,0,9
1262,26,0,10
1263,23,1,15
1264,31,1,18
1265,20,0,5
1266,11,0,10
1267,19,0,9
1268,35,1,19
1269,24,1,12
1270,19,0,10
1271,11,0,5
1272,3,0,0
1273,23,1,14
1274,22,1,16
1275,23,1,11
1276,24,0,13
1277,36,1,18
1278,34,1,20
1279,7,0,6
1280,19,0,5
1281,11,0,9
1282,31,0,13
1283,30,1,18
1284,12,0,11
1285,30,0,13
1286,34,0,12
1287,14,0,4
1288,22,0,6
1289,36,1,15
1290,33,1,21
1291,3,0,8
1292,11,0,2
1293,13,0,7
1294,25,0,13
1295,19,1,10
1296,12,1,11
1297,21,1,15
1298,22,1,15
1299,15,0,7
1300,6,0,3
1301,33,1,21
1302,24,1,9
1303,12,0,4
1304,4,0,5
1305,27,0,13
1306,18,0,9
1307,34,0,11
1308,35,0,10
1309,21,1,21
1310,10,0,9
1311,32,0,13
1312,6,1,15
1313,25,0,10
1314,17,1,8
1315,12,0,5
1316,21,1,18
1317,17,1,13
1318,25,1,12
1319,28,1,19
1320,29,1,19
1321,24,1,15
1322,34,0,12
1323,17,0,8
1324,12,0,10
1325,22,1,16
1326,14,0,9
1327,6,0,4
1328,27,0,13
1329,36,1,20
1330,2,0,5
1331,28,1,16
1332,14,0,10
1333,10,0,7
1334,11,0,10
1335,23,1,14
1336,34,1,15
1337,1,1,6
1338,8,0,13
1339,23,1,17
1340,2,0,7
1341,25,0,12
1342,15,0,5
1343,1,0,5
1344,32,0,14
1345,33,1,15
1346,24,0,11
1347,32,0,13
1348,20,0,12
1349,10,0,9
1350,31,1,12
1351,34,0,14
1352,14,0,6
1353,10,0,8
1354,17,1,15
1355,5,0,1
1356,17,1,11
1357,8,0,11
1358,35,1,18
1359,29,1,22
1360,5,0,12
1361,19,0,12
1362,5,0,11
1363,8,1,13
1364,13,0,5
1365,35,0,13
1366,5,0,2
1367,28,1,19
1368,25,1,17
1369,1,0,3
1370,18,0,7
1371,8,0,6
1372,21,0,10
1373,20,0,13
1374,15,0,9
1375,27,1,16
1376,1,0,8
1377,11,0,7
1378,24,0,14
1379,15,0,7
1380,23,0,8
1381,16,0,9
1382,28,0,13
1383,31,1,16
1384,22,0,11
1385,30,0,9
1386,32,1,16
1387,21,0,10
1388,30,1,16
1389,15,0,9
1390,6,0,1
1391,14,0,8
1392,15,0,6
1393,19,0,10
1394,7,0,7
1395,20,1,12
1396,28,0,14
1397,17,0,8
1398,9,0,0
1399,14,0,9
1400,29,1,17
1401,8,0,5
1402,1,0,2
1403,36,1,20
1404,4,0,3
1405,36,1,18
1406,16,0,14
1407,16,0,6
1408,9,1,14
1409,29,1,14
1410,35,1,20
1411,31,1,20
1412,2,0,0
1413,34,1,16
1414,8,0,6
1415,8,0,7
1416,5,1,10
1417,14,0,7
1418,6,0,3
1419,22,0,9
1420,1,0,7
1421,6,0,6
1422,7,1,12
1423,3,0,4
1424,19,1,10
1425,16,0,9
1426,2,0,4
1427,36,1,12
1428,25,1,20
1429,30,0,12
1430,9,0,5
1431,13,0,4
1432,15,0,8
1433,18,1,11
1434,11,0,5
1435,9,0,8
1436,31,1,19
1437,25,1,17
1438,18,0,10
1439,34,1,19
1440,22,1,14
1441,17,0,6
1442,34,1,18
1443,31,1,16
1444,12,0,7
1445,2,0,2
1446,10,0,4
1447,6,0,9
1448,26,1,13
1449,31,0,13
1450,27,0,10
1451,6,0,2
1452,16,0,8
1453,16,0,11
1454,36,1,17
1455,24,1,8
1456,17,0,12
1457,10,0,5
1458,22,0,11
1459,7,0,8
1460,27,0,8
1461,21,1,14
1462,8,0,6
1463,5,1,11
1464,13,1,11
1465,15,0,8
1466,6,0,4
1467,24,1,19
1468,18,0,9
1469,19,0,10
1470,6,0,6
1471,23,1,15
1472,23,1,17
1473,1,0,3
1474,33,0,9
1475,15,0,7
1476,18,0,7
1477,34,1,17
1478,31,0,15
1479,26,0,10
1480,27,1,13
1481,34,1,16
1482,17,1,8
1483,11,0,6
1484,11,0,8
1485,10,0,7
1486,28,0,11
1487,3,0,2
1488,34,1,19
1489,34,0,13
1490,3,0,4
1491,16,1,13
1492,7,0,6
1493,12,0,1
1494,23,0,12
1495,31,1,15
1496,1,0,5
1497,30,0,14
1498,5,0,6
1499,16,1,15
1500,10,0,6
1501,18,1,15
1502,4,0,3
1503,14,0,8
1504,35,1,19
1505,1,0,4
1506,18,0,7
1507,3,0,8
1508,33,1,25
1509,30,0,17
1510,33,0,16
1511,23,0,12
1512,34,1,18
1513,6,0,4
1514,35,1,19
1515,12,0,8
1516,11,0,4
1517,30,0,12
1518,10,1,12
1519,13,0,9
1520,6,0,1
1521,17,0,6
1522,7,0,4
1523,33,1,19
1524,8,0,6
1525,22,1,14
1526,11,0,3
1527,23,0,12
1528,32,1,25
1529,24,0,9
1530,14,0,6
1531,23,0,9
1532,4,0,3
1533,29,0,10
1534,25,0,13
1535,24,0,7
1536,27,1,15
1537,23,1,14
1538,32,1,15
1539,31,1,12
1540,24,1,13
1541,8,0,5
1542,9,0,2
1543,4,0,4
1544,22,1,12
1545,8,1,4
1546,20,0,4
1547,22,0,9
1548,19,1,12
1549,1,0,3
1550,17,0,8
1551,18,1,14
1552,27,1,17
1553,32,0,15
1554,18,1,14
1555,2,0,5
1556,19,0,5
1557,24,0,10
1558,34,1,18
1559,30,1,20
1560,3,0,4
1561,25,1,15
1562,17,0,8
1563,35,1,19
1564,7,0,0
1565,33,1,16
1566,11,0,10
1567,23,0,9
1568,4,0,3
1569,2,0,2
1570,34,1,17
1571,33,0,13
1572,9,0,6
1573,23,1,15
1574,30,1,14
1575,34,0,14
1576,6,0,7
1577,8,0,0
1578,17,0,14
1579,24,0,9
1580,20,1,11
1581,14,0,6
1582,3,0,4
1583,31,1,14
1584,23,1,14
1585,3,0,6
1586,17,0,7
1587,34,1,16
1588,21,1,18
1589,10,1,12
1590,31,1,16
1591,33,0,12
1592,26,0,9
1593,26,1,12
1594,18,0,5
1595,28,0,11
1596,5,0,4
1597,13,1,15
1598,16,1,11
1599,14,1,8
1600,1,0,4
1601,14,1,15
1602,16,0,9
1603,1,0,2
1604,28,0,10
1605,7,0,5
1606,27,0,9
1607,14,0,8
1608,17,1,17
1609,36,1,19
1610,8,0,7
1611,31,1,14
1612,20,0,9
1613,23,0,10
1614,33,1,18
1615,12,1,9
1616,31,0,9
1617,36,1,20
1618,1,0,7
1619,25,0,13
1620,33,1,21
1621,24,0,8
1622,19,0,10
1623,13,0,5
1624,7,0,5
1625,16,0,6
1626,34,1,15
1627,16,0,6
1628,14,0,5
1629,19,0,9
1630,17,0,2
1631,25,1,16
1632,13,0,4
1633,18,1,13
1634,19,1,15
1635,2,0,5
1636,2,0,5
1637,35,0,18
1638,23,0,11
1639,6,0,6
1640,29,0,9
1641,12,1,10
1642,20,0,13
1643,23,0,8
1644,28,1,17
1645,27,1,20
1646,27,0,10
1647,10,1,10
1648,6,0,1
1649,18,0,8
1650,25,0,12
1651,20,0,7
1652,32,1,16
1653,31,0,13
1654,35,1,21
1655,28,0,9
1656,26,1,16
1657,28,1,16
1658,15,0,9
1659,26,1,14
1660,11,0,7
1661,34,1,21
