user_id,variant,assignment_date,sessions_14d,retained_30d
87,treatment,2026-03-07,10,0
88,control,2026-03-07,11,0
89,control,2026-03-14,9,1
90,control,2026-03-09,6,1
91,control,2026-03-05,3,1
92,control,2026-03-08,10,0
93,treatment,2026-03-13,7,1
94,control,2026-03-11,8,0
95,control,2026-03-05,5,0
96,treatment,2026-03-12,4,0
97,control,2026-03-09,8,0
98,treatment,2026-03-04,6,0
99,control,2026-03-13,10,0
100,treatment,2026-03-15,10,0
101,control,2026-03-09,8,0
102,control,2026-03-07,10,0
103,control,2026-03-09,9,0
104,control,2026-03-08,9,0
105,control,2026-03-10,7,1
106,treatment,2026-03-06,8,0
107,treatment,2026-03-05,10,0
108,control,2026-03-10,6,1
109,treatment,2026-03-04,10,1
110,treatment,2026-03-06,12,0
111,control,2026-03-13,11,0
112,treatment,2026-03-04,5,0
113,treatment,2026-03-13,9,1
114,treatment,2026-03-11,9,0
115,treatment,2026-03-15,14,0
116,treatment,2026-03-09,5,1
117,control,2026-03-12,3,0
118,treatment,2026-03-06,8,1
119,treatment,2026-03-05,10,0
120,control,2026-03-15,8,0
121,control,2026-03-15,3,0
122,treatment,2026-03-11,9,0
123,control,2026-03-08,11,0
124,treatment,2026-03-14,6,1
125,control,2026-03-05,11,0
126,control,2026-03-02,9,0
127,control,2026-03-02,9,1
128,control,2026-03-10,11,0
129,control,2026-03-03,9,0
130,treatment,2026-03-05,11,1
131,treatment,2026-03-15,7,0
132,control,2026-03-11,13,1
133,treatment,2026-03-05,12,1
134,control,2026-03-06,9,0
135,treatment,2026-03-04,11,1
136,treatment,2026-03-11,7,0
137,control,2026-03-11,7,0
138,treatment,2026-03-05,13,1
139,treatment,2026-03-15,8,0
140,treatment,2026-03-08,10,1
141,control,2026-03-12,6,0
142,treatment,2026-03-11,6,0
143,treatment,2026-03-13,10,0
144,control,2026-03-02,9,1
145,control,2026-03-05,8,0
146,treatment,2026-03-13,7,0
147,control,2026-03-04,8,0
148,control,2026-03-12,10,0
149,treatment,2026-03-02,5,0
150,treatment,2026-03-10,9,1
151,treatment,2026-03-09,6,0
152,control,2026-03-15,9,0
153,control,2026-03-11,13,0
154,treatment,2026-03-14,8,1
155,control,2026-03-13,13,0
156,treatment,2026-03-11,9,1
157,treatment,2026-03-13,5,0
158,treatment,2026-03-08,8,0
159,treatment,2026-03-07,7,1
160,treatment,2026-03-10,9,1
161,treatment,2026-03-02,12,0
162,treatment,2026-03-12,10,0
163,treatment,2026-03-04,13,0
164,treatment,2026-03-07,9,0
165,control,2026-03-08,8,0
166,treatment,2026-03-13,5,1
167,control,2026-03-10,10,0
168,treatment,2026-03-02,9,1
169,control,2026-03-03,8,0
170,treatment,2026-03-15,4,1
171,control,2026-03-03,10,1
172,treatment,2026-03-10,10,0
173,control,2026-03-02,5,0
174,treatment,2026-03-05,10,1
175,treatment,2026-03-13,10,1
176,control,2026-03-12,8,0
177,treatment,2026-03-08,10,0
178,control,2026-03-12,5,1
179,treatment,2026-03-04,8,0
180,control,2026-03-10,8,1
181,treatment,2026-03-10,12,1
182,control,2026-03-11,5,0
183,treatment,2026-03-11,6,1
184,treatment,2026-03-13,15,1
185,control,2026-03-07,6,0
186,treatment,2026-03-10,6,0
187,treatment,2026-03-04,13,0
188,control,2026-03-03,8,1
189,control,2026-03-02,14,0
190,treatment,2026-03-02,8,1
191,control,2026-03-03,11,1
192,treatment,2026-03-07,10,1
193,treatment,2026-03-15,8,0
194,treatment,2026-03-08,8,0
195,treatment,2026-03-03,10,1
196,control,2026-03-12,4,1
197,control,2026-03-15,3,1
198,treatment,2026-03-02,6,1
199,control,2026-03-04,9,0
200,control,2026-03-05,6,0
201,treatment,2026-03-11,8,1
202,treatment,2026-03-10,9,0
203,control,2026-03-02,11,0
204,control,2026-03-07,9,1
205,control,2026-03-05,8,0
206,treatment,2026-03-08,7,1
207,treatment,2026-03-07,8,1
208,control,2026-03-06,7,0
209,treatment,2026-03-03,9,0
210,control,2026-03-15,9,1
211,treatment,2026-03-05,6,1
212,control,2026-03-06,8,0
213,treatment,2026-03-11,7,1
214,control,2026-03-04,9,1
215,treatment,2026-03-04,9,1
216,control,2026-03-05,6,1
217,control,2026-03-15,10,0
218,control,2026-03-13,11,1
219,control,2026-03-05,6,0
220,control,2026-03-08,11,1
221,control,2026-03-04,6,0
222,treatment,2026-03-14,9,0
223,control,2026-03-02,5,0
224,treatment,2026-03-09,9,0
225,treatment,2026-03-11,12,1
226,control,2026-03-04,7,0
227,control,2026-03-12,9,0
228,control,2026-03-12,8,0
229,control,2026-03-02,3,1
230,treatment,2026-03-07,2,0
231,control,2026-03-07,8,1
232,treatment,2026-03-07,11,0
233,control,2026-03-10,9,0
234,treatment,2026-03-05,7,1
235,control,2026-03-04,6,1
236,treatment,2026-03-04,11,1
237,treatment,2026-03-14,6,1
238,treatment,2026-03-12,9,0
239,control,2026-03-14,8,0
240,control,2026-03-14,10,0
241,treatment,2026-03-04,9,0
242,treatment,2026-03-06,5,1
243,control,2026-03-06,10,0
244,control,2026-03-15,8,1
245,treatment,2026-03-10,9,1
246,control,2026-03-11,15,0
247,control,2026-03-10,7,0
248,treatment,2026-03-09,10,1
249,treatment,2026-03-14,10,0
250,control,2026-03-04,12,0
251,control,2026-03-12,12,0
252,control,2026-03-15,8,1
253,control,2026-03-12,9,1
254,control,2026-03-08,9,1
255,control,2026-03-15,11,1
256,control,2026-03-03,5,0
257,treatment,2026-03-11,9,1
258,control,2026-03-06,11,1
259,treatment,2026-03-03,13,0
260,control,2026-03-04,12,0
261,control,2026-03-14,3,0
262,treatment,2026-03-15,6,0
263,control,2026-03-03,7,0
264,control,2026-03-09,5,0
265,control,2026-03-05,14,1
266,control,2026-03-10,8,0
267,treatment,2026-03-09,10,0
268,treatment,2026-03-07,16,0
269,control,2026-03-07,4,1
270,treatment,2026-03-12,5,0
271,control,2026-03-07,7,1
272,control,2026-03-08,12,0
273,control,2026-03-14,10,0
274,treatment,2026-03-09,7,1
275,control,2026-03-11,13,1
276,treatment,2026-03-12,10,0
277,control,2026-03-05,12,0
278,control,2026-03-14,8,0
279,control,2026-03-06,13,0
280,control,2026-03-08,7,0
281,control,2026-03-13,9,1
282,control,2026-03-15,8,1
283,control,2026-03-10,15,0
284,treatment,2026-03-15,16,0
285,control,2026-03-10,6,1
286,control,2026-03-08,10,1
287,control,2026-03-15,12,1
288,control,2026-03-04,11,0
289,control,2026-03-04,3,0
290,control,2026-03-02,10,1
291,control,2026-03-07,8,0
292,control,2026-03-07,5,1
293,treatment,2026-03-03,10,0
294,control,2026-03-05,10,1
295,control,2026-03-07,7,1
296,control,2026-03-05,8,0
297,control,2026-03-04,5,1
298,treatment,2026-03-05,8,0
299,treatment,2026-03-09,8,0
300,control,2026-03-02,8,1
301,control,2026-03-05,8,1
302,treatment,2026-03-11,9,0
303,control,2026-03-15,8,1
304,control,2026-03-05,10,0
305,treatment,2026-03-07,6,1
306,treatment,2026-03-10,11,1
307,treatment,2026-03-15,8,0
308,treatment,2026-03-04,8,1
309,control,2026-03-15,8,1
310,control,2026-03-04,2,1
311,control,2026-03-05,3,0
312,treatment,2026-03-10,13,1
313,control,2026-03-02,5,1
314,control,2026-03-02,12,0
315,treatment,2026-03-02,10,0
316,control,2026-03-02,6,0
317,control,2026-03-07,8,0
318,treatment,2026-03-07,5,0
319,control,2026-03-07,8,0
320,treatment,2026-03-06,8,1
321,control,2026-03-04,9,1
322,control,2026-03-08,9,1
323,control,2026-03-05,7,0
324,treatment,2026-03-08,6,0
325,treatment,2026-03-09,8,1
326,control,2026-03-04,6,0
327,treatment,2026-03-11,9,0
328,control,2026-03-08,6,0
329,treatment,2026-03-07,6,1
330,control,2026-03-04,9,1
331,control,2026-03-08,7,1
332,treatment,2026-03-14,9,1
333,treatment,2026-03-07,7,0
334,control,2026-03-08,10,0
335,treatment,2026-03-06,8,0
336,control,2026-03-04,11,1
337,control,2026-03-09,3,0
338,control,2026-03-06,10,0
339,treatment,2026-03-10,5,0
340,treatment,2026-03-15,6,0
341,treatment,2026-03-10,11,0
342,control,2026-03-11,15,0
343,treatment,2026-03-04,6,1
344,treatment,2026-03-02,8,0
345,treatment,2026-03-14,7,0
346,control,2026-03-06,11,1
347,treatment,2026-03-10,18,1
348,treatment,2026-03-03,11,1
349,control,2026-03-11,6,0
350,treatment,2026-03-04,5,0
351,treatment,2026-03-07,9,1
352,control,2026-03-14,8,0
353,control,2026-03-06,5,1
354,treatment,2026-03-15,5,1
355,treatment,2026-03-02,8,0
356,treatment,2026-03-03,10,0
357,control,2026-03-05,13,1
358,control,2026-03-06,8,0
359,treatment,2026-03-07,7,1
360,control,2026-03-11,7,0
361,treatment,2026-03-03,9,1
362,control,2026-03-02,9,0
363,control,2026-03-02,12,0
364,control,2026-03-11,9,1
365,control,2026-03-02,12,0
366,treatment,2026-03-13,7,0
367,control,2026-03-06,7,0
368,treatment,2026-03-10,11,1
369,treatment,2026-03-08,6,0
370,treatment,2026-03-03,6,1
371,treatment,2026-03-07,16,0
372,treatment,2026-03-13,12,0
373,treatment,2026-03-05,12,0
374,control,2026-03-02,9,0
375,treatment,2026-03-02,6,1
376,treatment,2026-03-11,13,0
377,control,2026-03-11,13,1
378,treatment,2026-03-06,11,0
379,control,2026-03-08,8,0
380,control,2026-03-12,6,0
381,control,2026-03-07,8,0
382,control,2026-03-08,2,1
383,control,2026-03-11,7,0
384,control,2026-03-14,11,0
385,treatment,2026-03-15,12,1
386,control,2026-03-05,5,0
387,treatment,2026-03-09,8,1
388,treatment,2026-03-15,11,1
389,treatment,2026-03-13,7,1
390,control,2026-03-11,8,1
391,control,2026-03-04,10,0
392,control,2026-03-05,7,0
393,control,2026-03-13,9,1
394,treatment,2026-03-12,7,0
395,treatment,2026-03-07,8,0
396,treatment,2026-03-14,6,0
397,control,2026-03-12,9,0
398,treatment,2026-03-08,9,1
399,treatment,2026-03-05,12,1
400,treatment,2026-03-07,9,0
401,treatment,2026-03-02,12,0
402,control,2026-03-05,7,0
403,treatment,2026-03-03,9,1
404,control,2026-03-02,8,1
405,control,2026-03-11,6,1
406,treatment,2026-03-15,14,0
407,treatment,2026-03-12,7,0
408,control,2026-03-08,7,0
409,control,2026-03-04,8,0
410,control,2026-03-10,13,1
411,treatment,2026-03-05,10,1
412,treatment,2026-03-08,7,0
413,treatment,2026-03-13,11,1
414,treatment,2026-03-05,16,0
415,control,2026-03-12,9,0
416,control,2026-03-04,12,0
417,control,2026-03-08,7,0
418,treatment,2026-03-13,7,1
419,treatment,2026-03-14,11,0
420,control,2026-03-12,10,1
421,control,2026-03-15,8,1
422,control,2026-03-10,9,0
423,control,2026-03-07,6,0
424,treatment,2026-03-05,13,0
425,control,2026-03-15,8,1
426,treatment,2026-03-15,8,1
427,control,2026-03-09,4,0
428,treatment,2026-03-10,10,1
429,treatment,2026-03-06,10,0
430,control,2026-03-15,6,0
431,control,2026-03-05,7,0
432,control,2026-03-15,5,1
433,control,2026-03-10,5,0
434,control,2026-03-13,4,1
435,treatment,2026-03-07,11,1
436,treatment,2026-03-07,6,0
437,treatment,2026-03-09,2,0
438,treatment,2026-03-14,13,0
439,treatment,2026-03-12,4,0
440,treatment,2026-03-09,12,0
441,treatment,2026-03-03,7,0
442,control,2026-03-11,11,1
443,treatment,2026-03-09,12,0
444,control,2026-03-04,5,1
445,control,2026-03-07,7,1
446,treatment,2026-03-03,12,0
447,control,2026-03-07,2,0
448,control,2026-03-14,5,1
449,control,2026-03-02,10,0
450,treatment,2026-03-04,5,1
451,treatment,2026-03-06,11,0
452,control,2026-03-09,6,0
453,control,2026-03-02,7,0
454,control,2026-03-15,8,0
455,control,2026-03-15,8,1
456,treatment,2026-03-07,5,1
457,control,2026-03-13,6,1
458,treatment,2026-03-05,7,0
459,treatment,2026-03-05,9,0
460,control,2026-03-04,6,0
461,control,2026-03-12,5,1
462,control,2026-03-09,2,0
463,control,2026-03-10,8,0
464,treatment,2026-03-14,10,0
465,treatment,2026-03-13,5,1
466,control,2026-03-10,6,0
467,control,2026-03-08,11,1
468,control,2026-03-11,9,0
469,treatment,2026-03-03,8,0
470,treatment,2026-03-04,12,0
471,control,2026-03-07,9,1
472,control,2026-03-07,7,1
473,control,2026-03-10,3,0
474,treatment,2026-03-06,9,0
475,treatment,2026-03-07,11,0
476,control,2026-03-09,11,0
477,control,2026-03-10,10,0
478,control,2026-03-08,9,0
479,treatment,2026-03-02,7,1
480,treatment,2026-03-02,8,1
481,control,2026-03-15,10,0
482,control,2026-03-14,7,0
483,treatment,2026-03-07,8,0
484,treatment,2026-03-07,9,1
485,control,2026-03-05,9,1
486,control,2026-03-02,6,0
487,treatment,2026-03-14,6,0
488,control,2026-03-10,6,1
489,treatment,2026-03-12,7,1
490,control,2026-03-08,9,0
491,treatment,2026-03-14,2,0
492,treatment,2026-03-13,9,0
493,treatment,2026-03-13,12,1
494,treatment,2026-03-13,8,1
495,control,2026-03-02,6,1
496,treatment,2026-03-07,6,0
497,control,2026-03-14,8,0
498,control,2026-03-15,4,0
499,control,2026-03-13,8,1
500,treatment,2026-03-14,11,0
501,control,2026-03-03,4,0
502,control,2026-03-07,13,0
503,treatment,2026-03-02,6,0
504,treatment,2026-03-06,7,0
505,treatment,2026-03-09,10,1
506,treatment,2026-03-02,12,1
507,treatment,2026-03-13,6,0
508,control,2026-03-06,7,0
509,treatment,2026-03-08,13,1
510,treatment,2026-03-07,9,1
511,treatment,2026-03-09,13,0
512,treatment,2026-03-12,5,0
513,control,2026-03-15,8,0
514,treatment,2026-03-02,11,1
515,control,2026-03-04,12,1
516,control,2026-03-04,10,1
517,treatment,2026-03-05,11,1
518,control,2026-03-06,8,0
519,control,2026-03-12,12,0
520,treatment,2026-03-05,17,0
521,treatment,2026-03-02,13,0
522,treatment,2026-03-06,15,1
523,control,2026-03-15,8,0
524,treatment,2026-03-15,6,0
525,treatment,2026-03-02,6,0
526,control,2026-03-08,10,1
527,treatment,2026-03-14,13,1
528,control,2026-03-10,9,1
529,control,2026-03-09,8,0
530,treatment,2026-03-12,11,1
531,control,2026-03-11,8,1
532,control,2026-03-13,6,0
533,treatment,2026-03-14,7,0
534,control,2026-03-04,11,1
535,treatment,2026-03-05,12,0
536,treatment,2026-03-13,12,0
537,control,2026-03-07,3,1
538,treatment,2026-03-06,9,0
539,control,2026-03-13,10,0
540,control,2026-03-11,10,0
541,treatment,2026-03-14,4,0
542,control,2026-03-13,6,1
543,treatment,2026-03-06,6,0
544,treatment,2026-03-06,8,0
545,control,2026-03-13,10,0
546,treatment,2026-03-02,16,1
547,treatment,2026-03-08,9,1
548,control,2026-03-07,10,0
549,treatment,2026-03-10,10,0
550,treatment,2026-03-09,6,1
551,treatment,2026-03-14,8,1
552,treatment,2026-03-14,7,0
553,treatment,2026-03-11,6,0
554,treatment,2026-03-13,8,1
555,control,2026-03-11,12,0
556,treatment,2026-03-02,10,0
557,treatment,2026-03-07,12,0
558,control,2026-03-09,3,1
559,treatment,2026-03-02,4,0
560,control,2026-03-10,8,0
561,control,2026-03-07,7,0
562,control,2026-03-04,13,1
563,treatment,2026-03-09,13,0
564,treatment,2026-03-06,13,0
565,treatment,2026-03-13,8,1
566,treatment,2026-03-02,7,0
567,treatment,2026-03-10,8,1
568,treatment,2026-03-06,8,1
569,treatment,2026-03-06,10,0
570,treatment,2026-03-08,9,0
571,treatment,2026-03-13,6,1
572,control,2026-03-11,2,0
573,control,2026-03-14,7,0
574,treatment,2026-03-04,5,1
575,control,2026-03-11,12,0
576,treatment,2026-03-09,4,0
577,treatment,2026-03-08,16,0
578,control,2026-03-08,4,1
579,treatment,2026-03-04,6,0
580,treatment,2026-03-09,9,0
581,treatment,2026-03-10,4,0
582,treatment,2026-03-09,10,0
583,control,2026-03-07,5,0
584,control,2026-03-06,4,0
585,control,2026-03-09,9,1
586,control,2026-03-02,11,0
587,treatment,2026-03-06,10,0
588,control,2026-03-06,3,1
589,treatment,2026-03-08,8,1
590,treatment,2026-03-08,9,0
591,control,2026-03-14,8,1
592,control,2026-03-12,6,1
593,treatment,2026-03-02,6,0
594,treatment,2026-03-10,8,0
595,treatment,2026-03-06,8,0
596,control,2026-03-06,6,0
597,treatment,2026-03-13,7,0
598,treatment,2026-03-03,5,0
599,control,2026-03-14,11,0
600,treatment,2026-03-12,12,0
601,treatment,2026-03-15,16,1
602,control,2026-03-05,11,1
603,treatment,2026-03-06,4,0
604,control,2026-03-13,9,1
605,treatment,2026-03-06,6,0
606,control,2026-03-09,14,1
607,control,2026-03-07,8,0
608,control,2026-03-13,9,1
609,treatment,2026-03-07,7,0
610,treatment,2026-03-08,10,1
611,control,2026-03-04,6,1
612,control,2026-03-02,9,1
613,treatment,2026-03-02,7,0
614,control,2026-03-04,7,0
615,control,2026-03-12,6,1
616,control,2026-03-10,12,1
617,control,2026-03-06,5,0
618,treatment,2026-03-11,8,0
619,control,2026-03-11,7,0
620,treatment,2026-03-03,7,0
621,treatment,2026-03-02,9,0
622,treatment,2026-03-07,12,1
623,treatment,2026-03-14,8,1
624,treatment,2026-03-10,4,0
625,treatment,2026-03-10,5,0
626,treatment,2026-03-14,9,0
627,treatment,2026-03-03,10,1
628,control,2026-03-05,8,1
629,treatment,2026-03-06,13,0
630,treatment,2026-03-03,9,0
631,control,2026-03-15,9,1
632,treatment,2026-03-04,8,1
633,treatment,2026-03-04,10,1
634,control,2026-03-15,7,1
635,control,2026-03-02,8,0
636,control,2026-03-11,5,1
637,control,2026-03-11,6,0
638,treatment,2026-03-11,3,0
639,treatment,2026-03-13,10,1
640,control,2026-03-13,12,0
641,control,2026-03-06,5,0
642,control,2026-03-07,7,1
643,treatment,2026-03-09,7,0
644,treatment,2026-03-08,13,0
645,treatment,2026-03-04,12,1
646,control,2026-03-02,8,0
647,treatment,2026-03-13,2,0
648,control,2026-03-07,9,0
649,control,2026-03-10,7,0
650,treatment,2026-03-06,8,0
651,treatment,2026-03-08,11,1
652,control,2026-03-04,7,0
653,treatment,2026-03-09,9,1
654,treatment,2026-03-14,12,0
655,control,2026-03-12,5,0
656,treatment,2026-03-07,9,0
657,treatment,2026-03-13,3,0
658,control,2026-03-13,4,1
659,control,2026-03-06,15,0
660,treatment,2026-03-08,14,1
661,control,2026-03-05,3,1
662,control,2026-03-02,2,1
663,treatment,2026-03-13,11,1
664,control,2026-03-09,8,0
665,treatment,2026-03-05,6,0
666,control,2026-03-02,11,0
667,control,2026-03-14,10,1
668,treatment,2026-03-07,10,0
669,treatment,2026-03-12,7,0
670,control,2026-03-06,10,0
671,control,2026-03-05,5,0
672,control,2026-03-08,6,0
673,treatment,2026-03-08,7,1
674,control,2026-03-06,8,1
675,treatment,2026-03-08,10,0
676,treatment,2026-03-14,10,0
677,control,2026-03-12,8,1
678,control,2026-03-03,9,1
679,treatment,2026-03-05,11,0
680,control,2026-03-13,8,0
681,treatment,2026-03-06,7,1
682,control,2026-03-11,8,0
683,control,2026-03-05,8,0
684,control,2026-03-09,11,1
685,control,2026-03-03,7,0
686,control,2026-03-09,12,0
687,treatment,2026-03-14,9,1
688,treatment,2026-03-04,9,1
689,treatment,2026-03-10,8,0
690,treatment,2026-03-12,9,1
691,control,2026-03-13,8,0
692,treatment,2026-03-11,14,1
693,control,2026-03-14,3,0
694,treatment,2026-03-14,11,1
695,control,2026-03-04,9,0
696,control,2026-03-14,10,1
697,control,2026-03-15,6,0
698,treatment,2026-03-09,7,0
699,treatment,2026-03-09,8,1
700,treatment,2026-03-11,4,0
701,treatment,2026-03-10,9,0
702,control,2026-03-05,5,0
703,treatment,2026-03-15,6,1
704,treatment,2026-03-02,6,0
705,treatment,2026-03-05,8,0
706,treatment,2026-03-08,9,1
707,control,2026-03-15,8,0
708,control,2026-03-14,8,1
709,control,2026-03-05,13,1
710,treatment,2026-03-15,9,0
711,control,2026-03-06,9,1
712,treatment,2026-03-09,7,0
713,treatment,2026-03-07,12,0
714,control,2026-03-04,12,0
715,control,2026-03-11,12,0
716,control,2026-03-15,5,0
717,control,2026-03-14,2,0
718,treatment,2026-03-13,7,1
719,treatment,2026-03-11,6,1
720,treatment,2026-03-14,10,1
721,control,2026-03-05,13,1
722,treatment,2026-03-12,6,0
723,control,2026-03-13,5,0
724,treatment,2026-03-09,7,1
725,control,2026-03-05,7,1
726,treatment,2026-03-12,9,0
727,control,2026-03-04,7,0
728,treatment,2026-03-07,7,1
729,treatment,2026-03-02,7,0
730,control,2026-03-13,11,0
731,treatment,2026-03-05,14,1
732,control,2026-03-10,5,0
733,control,2026-03-05,4,0
734,control,2026-03-11,6,0
735,control,2026-03-05,9,0
736,treatment,2026-03-12,13,1
737,treatment,2026-03-04,4,1
738,control,2026-03-15,7,1
739,treatment,2026-03-03,4,0
740,control,2026-03-05,8,1
741,treatment,2026-03-08,7,1
742,treatment,2026-03-14,13,0
743,control,2026-03-08,9,1
744,control,2026-03-10,9,0
745,control,2026-03-05,6,0
746,control,2026-03-05,11,1
747,control,2026-03-09,7,1
748,treatment,2026-03-03,10,0
749,treatment,2026-03-03,4,1
750,treatment,2026-03-12,5,0
751,treatment,2026-03-07,9,0
752,treatment,2026-03-08,10,1
753,control,2026-03-13,10,0
754,treatment,2026-03-13,8,0
755,control,2026-03-15,8,1
756,control,2026-03-06,3,0
757,treatment,2026-03-04,11,0
758,control,2026-03-14,1,1
759,treatment,2026-03-10,6,0
760,treatment,2026-03-02,10,0
761,treatment,2026-03-06,7,0
762,control,2026-03-10,9,1
763,treatment,2026-03-05,5,1
764,treatment,2026-03-07,3,1
765,treatment,2026-03-15,8,0
766,control,2026-03-08,8,0
767,treatment,2026-03-14,16,0
768,treatment,2026-03-03,11,0
769,control,2026-03-03,6,0
770,control,2026-03-08,8,1
771,treatment,2026-03-05,3,0
772,control,2026-03-13,7,1
773,treatment,2026-03-09,9,1
774,control,2026-03-08,11,1
775,treatment,2026-03-08,9,1
776,treatment,2026-03-14,9,1
777,treatment,2026-03-05,11,1
778,treatment,2026-03-14,13,1
779,control,2026-03-15,8,0
780,control,2026-03-04,13,0
781,treatment,2026-03-07,12,0
782,treatment,2026-03-09,6,1
783,control,2026-03-14,6,0
784,control,2026-03-06,17,1
785,treatment,2026-03-15,5,0
786,control,2026-03-12,8,0
787,control,2026-03-03,11,0
788,treatment,2026-03-02,10,1
789,control,2026-03-14,7,1
790,treatment,2026-03-15,8,0
791,treatment,2026-03-11,7,0
792,control,2026-03-13,10,0
793,control,2026-03-08,10,0
794,control,2026-03-12,8,0
795,treatment,2026-03-11,8,1
796,control,2026-03-10,12,1
797,treatment,2026-03-10,6,1
798,control,2026-03-04,2,1
799,control,2026-03-05,13,1
800,treatment,2026-03-04,11,1
801,treatment,2026-03-10,6,1
802,control,2026-03-14,10,0
803,treatment,2026-03-12,7,0
804,control,2026-03-07,9,0
805,treatment,2026-03-12,8,0
806,treatment,2026-03-12,14,1
807,control,2026-03-03,10,1
808,treatment,2026-03-04,9,0
809,control,2026-03-13,7,1
810,treatment,2026-03-12,6,0
811,treatment,2026-03-09,10,0
812,control,2026-03-10,11,0
813,control,2026-03-14,11,0
814,treatment,2026-03-12,8,0
815,control,2026-03-03,11,0
816,treatment,2026-03-10,10,0
817,control,2026-03-09,8,1
818,control,2026-03-02,6,1
819,control,2026-03-06,2,1
820,control,2026-03-06,10,1
821,treatment,2026-03-08,9,1
822,control,2026-03-04,5,0
823,treatment,2026-03-09,13,1
824,treatment,2026-03-05,8,1
825,control,2026-03-11,11,0
826,control,2026-03-03,8,1
827,control,2026-03-02,8,1
828,control,2026-03-08,13,1
829,control,2026-03-10,10,1
830,treatment,2026-03-03,6,0
831,control,2026-03-07,8,0
832,control,2026-03-02,5,0
833,treatment,2026-03-06,12,1
834,control,2026-03-14,13,0
835,control,2026-03-08,11,0
836,treatment,2026-03-10,9,1
837,control,2026-03-09,4,1
838,control,2026-03-03,10,0
839,treatment,2026-03-13,8,0
840,control,2026-03-04,11,1
841,treatment,2026-03-06,8,1
842,treatment,2026-03-10,8,0
843,treatment,2026-03-03,8,1
844,control,2026-03-03,12,0
845,treatment,2026-03-14,10,0
846,treatment,2026-03-08,10,1
847,control,2026-03-09,8,0
848,control,2026-03-14,12,1
849,treatment,2026-03-14,11,0
850,control,2026-03-13,10,0
851,control,2026-03-02,9,0
852,treatment,2026-03-05,6,0
853,treatment,2026-03-11,9,1
854,control,2026-03-07,5,0
855,control,2026-03-04,8,0
856,control,2026-03-10,7,0
857,control,2026-03-02,3,1
858,control,2026-03-05,9,1
859,control,2026-03-07,9,0
860,control,2026-03-02,7,1
861,treatment,2026-03-09,5,1
862,control,2026-03-08,10,0
863,treatment,2026-03-15,4,0
864,treatment,2026-03-03,8,1
865,control,2026-03-03,7,0
866,treatment,2026-03-11,8,0
867,treatment,2026-03-04,17,0
868,control,2026-03-12,8,1
869,control,2026-03-13,5,0
870,control,2026-03-13,10,0
871,control,2026-03-08,11,1
872,treatment,2026-03-07,19,1
